                                     | Core 0    
  Instructions                       |      82772
  Cycles                             |     256286
  IPC                                |       0.32
  Time (ns)                          |      96348
  Idle time (ns)                     |      77227
  Idle time (%)                      |      80.2%
Branch predictor stats               |           
  num correct                        |       9266
  num incorrect                      |         34
  misprediction rate                 |      0.37%
  mpki                               |       0.41
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15226
    num cache misses                 |         59
    miss rate                        |      0.39%
    mpki                             |       0.71
  Cache L1-D                         |           
    num cache accesses               |      47751
    num cache misses                 |         80
    miss rate                        |      0.17%
    mpki                             |       0.97
  Cache L2                           |           
    num cache accesses               |        146
    num cache misses                 |        138
    miss rate                        |     94.52%
    mpki                             |       1.67
  Cache L3                           |           
    num cache accesses               |        145
    num cache misses                 |        138
    miss rate                        |     95.17%
    mpki                             |       1.67
DRAM summary                         |           
  num dram accesses                  |        137
  average dram access latency (ns)   |     149.62
  average dram queueing delay        |      96.19
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |         64
  num loads from dram cache          |          0
  num loads from remote cache        |          0
