                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     205965 |     172854 |     191868 |     197293 |     177253 |     195148 |     197458 |     204893 |     186476 |     187843 |     177174 |     203816 |     185933 |     203559 |     200163 |     198744
  Cycles                             |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680 |    3234680
  IPC                                |       0.06 |       0.05 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045 |    1216045
  Idle time (ns)                     |      92075 |     310695 |     173220 |     134249 |     266597 |     150878 |     130086 |      90487 |     178667 |     210383 |     258209 |     111016 |     197145 |      89502 |     110040 |     103030
  Idle time (%)                      |       7.6% |      25.5% |      14.2% |      11.0% |      21.9% |      12.4% |      10.7% |       7.4% |      14.7% |      17.3% |      21.2% |       9.1% |      16.2% |       7.4% |       9.0% |       8.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      31961 |      25329 |      29150 |      30223 |      26217 |      29786 |      30252 |      31742 |      28064 |      28328 |      26198 |      31541 |      27950 |      31482 |      30804 |      30503
  num incorrect                      |         46 |         49 |         40 |         50 |         41 |         51 |         48 |         44 |         46 |         49 |         45 |         38 |         45 |         41 |         45 |         54
  misprediction rate                 |      0.14% |      0.19% |      0.14% |      0.17% |      0.16% |      0.17% |      0.16% |      0.14% |      0.16% |      0.17% |      0.17% |      0.12% |      0.16% |      0.13% |      0.15% |      0.18%
  mpki                               |       0.22 |       0.28 |       0.21 |       0.25 |       0.23 |       0.26 |       0.24 |       0.21 |       0.25 |       0.26 |       0.25 |       0.19 |       0.24 |       0.20 |       0.22 |       0.27
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      69006 |      55749 |      63372 |      65541 |      57510 |      64667 |      65590 |      68567 |      61211 |      61749 |      57477 |      68149 |      60984 |      68046 |      66692 |      66107
    num cache misses                 |         16 |         16 |         13 |         16 |         16 |         15 |         13 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         15 |         16
    miss rate                        |      0.02% |      0.03% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.08 |       0.09 |       0.07 |       0.08 |       0.09 |       0.08 |       0.07 |       0.08 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09 |       0.07 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     127033 |     107146 |     118577 |     121832 |     109783 |     120524 |     121905 |     126371 |     115339 |     116144 |     109738 |     125745 |     114996 |     125591 |     123557 |     122684
    num cache misses                 |      32458 |      25463 |      28720 |      29514 |      26062 |      29197 |      28752 |      29562 |      30090 |      27189 |      25520 |      29459 |      27196 |      28688 |      28696 |      27873
    miss rate                        |     25.55% |     23.76% |     24.22% |     24.23% |     23.74% |     24.23% |     23.59% |     23.39% |     26.09% |     23.41% |     23.26% |     23.43% |     23.65% |     22.84% |     23.22% |     22.72%
    mpki                             |     157.59 |     147.31 |     149.69 |     149.59 |     147.03 |     149.61 |     145.61 |     144.28 |     161.36 |     144.74 |     144.04 |     144.54 |     146.27 |     140.93 |     143.36 |     140.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      32783 |      25751 |      28997 |      29803 |      26308 |      29475 |      29067 |      29857 |      30293 |      27395 |      25706 |      29660 |      27369 |      28884 |      28903 |      28092
    num cache misses                 |      32491 |      25516 |      28775 |      29563 |      26116 |      29255 |      28831 |      29620 |      30122 |      27232 |      25560 |      29520 |      27256 |      28740 |      28757 |      27938
    miss rate                        |     99.11% |     99.09% |     99.23% |     99.19% |     99.27% |     99.25% |     99.19% |     99.21% |     99.44% |     99.41% |     99.43% |     99.53% |     99.59% |     99.50% |     99.49% |     99.45%
    mpki                             |     157.75 |     147.62 |     149.97 |     149.84 |     147.34 |     149.91 |     146.01 |     144.56 |     161.53 |     144.97 |     144.26 |     144.84 |     146.59 |     141.19 |     143.67 |     140.57
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      32783 |      25751 |      28997 |      29803 |      26308 |      29475 |      29067 |      29857 |      30293 |      27395 |      25706 |      29660 |      27369 |      28884 |      28903 |      28092
    num cache misses                 |      12331 |      14357 |      16472 |      17001 |      15260 |      17523 |      17730 |      18809 |      11615 |      16314 |      15547 |      18258 |      16780 |      18201 |      18515 |      18334
    miss rate                        |     37.61% |     55.75% |     56.81% |     57.04% |     58.01% |     59.45% |     61.00% |     63.00% |     38.34% |     59.55% |     60.48% |     61.56% |     61.31% |     63.01% |     64.06% |     65.26%
    mpki                             |      59.87 |      83.06 |      85.85 |      86.17 |      86.09 |      89.79 |      89.79 |      91.80 |      62.29 |      86.85 |      87.75 |      89.58 |      90.25 |      89.41 |      92.50 |      92.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      90.71 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      37.28 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          4 |          4 |          3 |          5 |          4 |          4 |          5 |          3 |          5 |          4 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6499 |       7946 |       8939 |       9203 |       8498 |       9373 |       9552 |      10027 |       6356 |       7951 |       7857 |       9277 |       8778 |       9337 |       9658 |       9739
