                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     132487 |     145106 |     130183 |     148368 |     143769 |     139997 |     150462 |     145212
  Cycles                             |    1067669 |    1067669 |    1067669 |    1067669 |    1067669 |    1067669 |    1067669 |    1067669
  IPC                                |       0.12 |       0.14 |       0.12 |       0.14 |       0.13 |       0.13 |       0.14 |       0.14
  Time (ns)                          |     401380 |     401380 |     401380 |     401380 |     401380 |     401380 |     401380 |     401380
  Idle time (ns)                     |      99077 |      82225 |     119316 |      89919 |      84779 |     117203 |      86072 |     109017
  Idle time (%)                      |      24.7% |      20.5% |      29.7% |      22.4% |      21.1% |      29.2% |      21.4% |      27.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      17274 |      19782 |      16801 |      20422 |      19509 |      18758 |      20860 |      19816
  num incorrect                      |         44 |         53 |         49 |         60 |         55 |         45 |         50 |         42
  misprediction rate                 |      0.25% |      0.27% |      0.29% |      0.29% |      0.28% |      0.24% |      0.24% |      0.21%
  mpki                               |       0.33 |       0.37 |       0.38 |       0.40 |       0.38 |       0.32 |       0.33 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39620 |      44664 |      38685 |      45957 |      44115 |      42602 |      46808 |      44707
    num cache misses                 |         11 |         16 |         14 |         16 |         16 |         15 |         13 |         16
    miss rate                        |      0.03% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03% |      0.04%
    mpki                             |       0.08 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.09 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      82952 |      90519 |      81553 |      92458 |      89701 |      87427 |      93735 |      90583
    num cache misses                 |      15594 |      15139 |      14116 |      15726 |      14984 |      14577 |      15725 |      15422
    miss rate                        |     18.80% |     16.72% |     17.31% |     17.01% |     16.70% |     16.67% |     16.78% |     17.03%
    mpki                             |     117.70 |     104.33 |     108.43 |     105.99 |     104.22 |     104.12 |     104.51 |     106.20
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15697 |      15246 |      14190 |      15808 |      15069 |      14660 |      15817 |      15490
    num cache misses                 |       9493 |       8717 |       8204 |       8833 |       9198 |       8428 |       9220 |       8437
    miss rate                        |     60.48% |     57.18% |     57.82% |     55.88% |     61.04% |     57.49% |     58.29% |     54.47%
    mpki                             |      71.65 |      60.07 |      63.02 |      59.53 |      63.98 |      60.20 |      61.28 |      58.10
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9571 |       8775 |       8251 |       8872 |       9244 |       8478 |       9274 |       8472
    num cache misses                 |          9 |          8 |         18 |          5 |          7 |          7 |          8 |         10
    miss rate                        |      0.09% |      0.09% |      0.22% |      0.06% |      0.08% |      0.08% |      0.09% |      0.12%
    mpki                             |       0.07 |       0.06 |       0.14 |       0.03 |       0.05 |       0.05 |       0.05 |       0.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      96.48 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      43.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          6 |          6 |          3 |          5 |          5 |          2 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
