                                     | Core 0    
  Instructions                       |     183960
  Cycles                             |     426374
  IPC                                |       0.43
  Time (ns)                          |     160291
  Idle time (ns)                     |      76921
  Idle time (%)                      |      48.0%
Branch predictor stats               |           
  num correct                        |      13004
  num incorrect                      |          6
  misprediction rate                 |      0.05%
  mpki                               |       0.03
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      30012
    num cache misses                 |         11
    miss rate                        |      0.04%
    mpki                             |       0.06
  Cache L1-D                         |           
    num cache accesses               |     124035
    num cache misses                 |          9
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         22
    num cache misses                 |         20
    miss rate                        |     90.91%
    mpki                             |       0.11
  Cache L3                           |           
    num cache accesses               |         22
    num cache misses                 |         20
    miss rate                        |     90.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |         20
  average dram access latency (ns)   |     110.91
  average dram queueing delay        |      57.48
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          5
  num loads from dram cache          |          0
  num loads from remote cache        |          0
