                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     627191 |     613040 |     586018 |     541965 |     543443 |     604124 |     667427 |     664512 |     441805 |     617817 |     654430 |     628563 |     643629 |     627542 |     585440 |     631871
  Cycles                             |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308 |    8974308
  IPC                                |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.07 |       0.07 |       0.07 |       0.05 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800 |    3373800
  Idle time (ns)                     |     192457 |     307189 |     425203 |     704851 |     690653 |     312974 |      96396 |      83551 |    1438329 |     295765 |     112496 |     190496 |     125950 |     180933 |     450167 |     161180
  Idle time (%)                      |       5.7% |       9.1% |      12.6% |      20.9% |      20.5% |       9.3% |       2.9% |       2.5% |      42.6% |       8.8% |       3.3% |       5.6% |       3.7% |       5.4% |      13.3% |       4.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      86807 |      84458 |      79956 |      72593 |      72856 |      82958 |      93505 |      93032 |      55920 |      85255 |      91343 |      87043 |      89552 |      86866 |      79849 |      87588
  num incorrect                      |         72 |         63 |         62 |         82 |         66 |         78 |         82 |         66 |         62 |         62 |         76 |         65 |         67 |         72 |         72 |         71
  misprediction rate                 |      0.08% |      0.07% |      0.08% |      0.11% |      0.09% |      0.09% |      0.09% |      0.07% |      0.11% |      0.07% |      0.08% |      0.07% |      0.07% |      0.08% |      0.09% |      0.08%
  mpki                               |       0.11 |       0.10 |       0.11 |       0.15 |       0.12 |       0.13 |       0.12 |       0.10 |       0.14 |       0.10 |       0.12 |       0.10 |       0.10 |       0.11 |       0.12 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     177750 |     173034 |     164031 |     149338 |     149830 |     170061 |     191163 |     190193 |     115957 |     174626 |     186830 |     178208 |     183230 |     177868 |     163834 |     179312
    num cache misses                 |         15 |         16 |         15 |         16 |         16 |         15 |         14 |         16 |         14 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.02 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     345649 |     338574 |     325066 |     303036 |     303777 |     334118 |     365770 |     364309 |     252958 |     340964 |     359270 |     346337 |     353870 |     345825 |     324774 |     347990
    num cache misses                 |      87915 |      79908 |      75431 |      67669 |      67735 |      78067 |      82923 |      82948 |      54008 |      79756 |      82646 |      80467 |      80968 |      79537 |      72541 |      78770
    miss rate                        |     25.43% |     23.60% |     23.20% |     22.33% |     22.30% |     23.37% |     22.67% |     22.77% |     21.35% |     23.39% |     23.00% |     23.23% |     22.88% |     23.00% |     22.34% |     22.64%
    mpki                             |     140.17 |     130.35 |     128.72 |     124.86 |     124.64 |     129.22 |     124.24 |     124.83 |     122.24 |     129.09 |     126.29 |     128.02 |     125.80 |     126.74 |     123.91 |     124.66
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      88213 |      80122 |      75604 |      67823 |      67892 |      78270 |      83129 |      83115 |      54111 |      79937 |      82852 |      80577 |      81125 |      79666 |      72686 |      78945
    num cache misses                 |      87949 |      79960 |      75475 |      67723 |      67795 |      78134 |      82996 |      83010 |      54033 |      79803 |      82695 |      80506 |      81023 |      79590 |      72599 |      78840
    miss rate                        |     99.70% |     99.80% |     99.83% |     99.85% |     99.86% |     99.83% |     99.84% |     99.87% |     99.86% |     99.83% |     99.81% |     99.91% |     99.87% |     99.90% |     99.88% |     99.87%
    mpki                             |     140.23 |     130.43 |     128.79 |     124.96 |     124.75 |     129.33 |     124.35 |     124.92 |     122.30 |     129.17 |     126.36 |     128.08 |     125.88 |     126.83 |     124.01 |     124.77
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      88213 |      80122 |      75604 |      67823 |      67892 |      78270 |      83129 |      83115 |      54111 |      79937 |      82852 |      80577 |      81125 |      79666 |      72686 |      78945
    num cache misses                 |      31379 |      44343 |      42574 |      38349 |      38746 |      45453 |      49090 |      50569 |      19275 |      47354 |      49520 |      48901 |      49688 |      49278 |      45808 |      50423
    miss rate                        |     35.57% |     55.34% |     56.31% |     56.54% |     57.07% |     58.07% |     59.05% |     60.84% |     35.62% |     59.24% |     59.77% |     60.69% |     61.25% |     61.86% |     63.02% |     63.87%
    mpki                             |      50.03 |      72.33 |      72.65 |      70.76 |      71.30 |      75.24 |      73.55 |      76.10 |      43.63 |      76.65 |      75.67 |      77.80 |      77.20 |      78.53 |      78.25 |      79.80
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        102 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     163.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     109.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          4 |          4 |          5 |          2 |          4 |          3 |          5 |          4 |          4 |          5 |          5 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      18738 |      25884 |      25412 |      23064 |      23701 |      26952 |      28142 |      28739 |      12094 |      26043 |      27716 |      27789 |      28960 |      29095 |      27206 |      30033
