                                     | Core 0     | Core 1    
  Instructions                       |     207316 |     206208
  Cycles                             |    1367203 |    1367203
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     513986 |     513986
  Idle time (ns)                     |     395773 |     397863
  Idle time (%)                      |      77.0% |      77.4%
Branch predictor stats               |            |           
  num correct                        |      18302 |      18275
  num incorrect                      |        293 |        300
  misprediction rate                 |      1.58% |      1.62%
  mpki                               |       1.41 |       1.45
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      35351 |      34924
    num cache misses                 |         65 |         66
    miss rate                        |      0.18% |      0.19%
    mpki                             |       0.31 |       0.32
  Cache L1-D                         |            |           
    num cache accesses               |     132148 |     131611
    num cache misses                 |        998 |       1005
    miss rate                        |      0.76% |      0.76%
    mpki                             |       4.81 |       4.87
  Cache L2                           |            |           
    num cache accesses               |       1324 |       1312
    num cache misses                 |        114 |         63
    miss rate                        |      8.61% |      4.80%
    mpki                             |       0.55 |       0.31
  Cache L3                           |            |           
    num cache accesses               |        121 |         66
    num cache misses                 |        114 |         63
    miss rate                        |     94.21% |     95.45%
    mpki                             |       0.55 |       0.31
DRAM summary                         |            |           
  num dram accesses                  |        162 |          0
  average dram access latency (ns)   |     157.62 |        inf
  average dram queueing delay        |     104.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         39 |         29
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
