                                     | Core 0     | Core 1    
  Instructions                       |     365646 |     348522
  Cycles                             |     639862 |     639862
  IPC                                |       0.57 |       0.54
  Time (ns)                          |     240550 |     240550
  Idle time (ns)                     |      78806 |      86320
  Idle time (%)                      |      32.8% |      35.9%
Branch predictor stats               |            |           
  num correct                        |      43184 |      40336
  num incorrect                      |        106 |        104
  misprediction rate                 |      0.24% |      0.26%
  mpki                               |       0.29 |       0.30
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      90576 |      84859
    num cache misses                 |         11 |         11
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     214877 |     206318
    num cache misses                 |       6281 |       6312
    miss rate                        |      2.92% |      3.06%
    mpki                             |      17.18 |      18.11
  Cache L2                           |            |           
    num cache accesses               |       6418 |       6418
    num cache misses                 |          8 |         17
    miss rate                        |      0.12% |      0.26%
    mpki                             |       0.02 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         10 |         19
    num cache misses                 |          8 |         17
    miss rate                        |     80.00% |     89.47%
    mpki                             |       0.02 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      87.15 |        inf
  average dram queueing delay        |      33.72 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
