                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     551883 |     550880 |     554071 |     432886
  Cycles                             |    1061679 |    1061679 |    1061679 |    1061679
  IPC                                |       0.52 |       0.52 |       0.52 |       0.41
  Time (ns)                          |     399128 |     399128 |     399128 |     399128
  Idle time (ns)                     |      79041 |      82038 |      80943 |     153945
  Idle time (%)                      |      19.8% |      20.6% |      20.3% |      38.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      74207 |      74037 |      74569 |      54379
  num incorrect                      |        123 |        124 |        124 |        122
  misprediction rate                 |      0.17% |      0.17% |      0.17% |      0.22%
  mpki                               |       0.22 |       0.23 |       0.22 |       0.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     152654 |     152310 |     153372 |     112980
    num cache misses                 |         11 |         15 |         15 |         11
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     307996 |     307495 |     309090 |     248500
    num cache misses                 |      59070 |      57175 |      56761 |      41171
    miss rate                        |     19.18% |     18.59% |     18.36% |     16.57%
    mpki                             |     107.03 |     103.79 |     102.44 |      95.11
  Cache L2                           |            |            |            |           
    num cache accesses               |      59172 |      57231 |      56825 |      41209
    num cache misses                 |          5 |          8 |         14 |         19
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.03 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |          7 |          9 |         15 |         21
    num cache misses                 |          5 |          8 |         14 |         19
    miss rate                        |     71.43% |     88.89% |     93.33% |     90.48%
    mpki                             |       0.01 |       0.01 |       0.03 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     104.52 |        inf |        inf |        inf
  average dram queueing delay        |      51.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          2 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
