                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     208957 |     206647 |     207642 |     205467 |     205433 |     206619 |     207215 |     205919
  Cycles                             |    6517377 |    6517377 |    6517377 |    6517377 |    6517377 |    6517377 |    6517377 |    6517377
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    2450142 |    2450142 |    2450142 |    2450142 |    2450142 |    2450142 |    2450142 |    2450142
  Idle time (ns)                     |    2312391 |    2319246 |    2315460 |    2320711 |    2321277 |    2319260 |    2313959 |    2320892
  Idle time (%)                      |      94.4% |      94.7% |      94.5% |      94.7% |      94.7% |      94.7% |      94.4% |      94.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      18506 |      18258 |      18367 |      18131 |      18162 |      18322 |      18286 |      18190
  num incorrect                      |        324 |        275 |        265 |        217 |        223 |        239 |        248 |        198
  misprediction rate                 |      1.72% |      1.48% |      1.42% |      1.18% |      1.21% |      1.29% |      1.34% |      1.08%
  mpki                               |       1.55 |       1.33 |       1.28 |       1.06 |       1.09 |       1.16 |       1.20 |       0.96
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      35410 |      35115 |      35268 |      34988 |      34897 |      35036 |      35235 |      35068
    num cache misses                 |         65 |         64 |         65 |         22 |         21 |         65 |         22 |         22
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.06% |      0.06% |      0.19% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.31 |       0.31 |       0.11 |       0.10 |       0.31 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     132691 |     131786 |     132189 |     131323 |     131278 |     131744 |     132016 |     131506
    num cache misses                 |       1199 |        964 |       1092 |        882 |        901 |        970 |       1058 |        891
    miss rate                        |      0.90% |      0.73% |      0.83% |      0.67% |      0.69% |      0.74% |      0.80% |      0.68%
    mpki                             |       5.74 |       4.66 |       5.26 |       4.29 |       4.39 |       4.69 |       5.11 |       4.33
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1430 |       1161 |       1321 |       1029 |       1049 |       1165 |       1261 |       1042
    num cache misses                 |        704 |        506 |        663 |        525 |        523 |        622 |        709 |        493
    miss rate                        |     49.23% |     43.58% |     50.19% |     51.02% |     49.86% |     53.39% |     56.23% |     47.31%
    mpki                             |       3.37 |       2.45 |       3.19 |       2.56 |       2.55 |       3.01 |       3.42 |       2.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        809 |        583 |        775 |        611 |        606 |        707 |        850 |        582
    num cache misses                 |         60 |         33 |         43 |         10 |         16 |         57 |          8 |          9
    miss rate                        |      7.42% |      5.66% |      5.55% |      1.64% |      2.64% |      8.06% |      0.94% |      1.55%
    mpki                             |       0.29 |       0.16 |       0.21 |       0.05 |       0.08 |       0.28 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        227 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     257.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     204.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         31 |         14 |         14 |          6 |          5 |         24 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
