                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     510270 |     558807 |     448494 |     537824 |     400802 |     467445 |     530719 |     488061
  Cycles                             |    3316695 |    3316695 |    3316695 |    3316695 |    3316695 |    3316695 |    3316695 |    3316695
  IPC                                |       0.15 |       0.17 |       0.14 |       0.16 |       0.12 |       0.14 |       0.16 |       0.15
  Time (ns)                          |    1246878 |    1246878 |    1246878 |    1246878 |    1246878 |    1246878 |    1246878 |    1246878
  Idle time (ns)                     |     122075 |      83101 |     296983 |     153065 |     377527 |     191723 |      80248 |     236956
  Idle time (%)                      |       9.8% |       6.7% |      23.8% |      12.3% |      30.3% |      15.4% |       6.4% |      19.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      67319 |      75403 |      57023 |      71905 |      49058 |      60173 |      70702 |      63627
  num incorrect                      |         77 |         79 |         73 |         85 |         89 |         82 |         97 |         64
  misprediction rate                 |      0.11% |      0.10% |      0.13% |      0.12% |      0.18% |      0.14% |      0.14% |      0.10%
  mpki                               |       0.15 |       0.14 |       0.16 |       0.16 |       0.22 |       0.18 |       0.18 |       0.13
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     138781 |     154952 |     118185 |     147960 |     102286 |     124504 |     145591 |     131376
    num cache misses                 |         11 |         15 |         15 |         11 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.02 |       0.04 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     287190 |     311458 |     256301 |     300969 |     232455 |     265777 |     297413 |     276085
    num cache misses                 |      54626 |      52646 |      43400 |      52172 |      36810 |      45676 |      50596 |      46179
    miss rate                        |     19.02% |     16.90% |     16.93% |     17.33% |     15.84% |     17.19% |     17.01% |     16.73%
    mpki                             |     107.05 |      94.21 |      96.77 |      97.01 |      91.84 |      97.71 |      95.33 |      94.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      54755 |      52731 |      43478 |      52265 |      36869 |      45744 |      50699 |      46255
    num cache misses                 |      30633 |      29060 |      23579 |      26686 |      23010 |      28493 |      31843 |      26683
    miss rate                        |     55.95% |     55.11% |     54.23% |     51.06% |     62.41% |     62.29% |     62.81% |     57.69%
    mpki                             |      60.03 |      52.00 |      52.57 |      49.62 |      57.41 |      60.95 |      60.00 |      54.67
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      30767 |      29122 |      23639 |      26743 |      23049 |      28550 |      31929 |      26739
    num cache misses                 |          7 |         11 |         12 |         16 |          8 |          6 |         10 |          9
    miss rate                        |      0.02% |      0.04% |      0.05% |      0.06% |      0.03% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.01 |       0.02 |       0.03 |       0.03 |       0.02 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     120.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      67.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          6 |          4 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
