                                     | Core 0    
  Instructions                       |    1357960
  Cycles                             |    3668404
  IPC                                |       0.37
  Time (ns)                          |    1379099
  Idle time (ns)                     |      76932
  Idle time (%)                      |       5.6%
Branch predictor stats               |           
  num correct                        |     104002
  num incorrect                      |          8
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     211012
    num cache misses                 |         11
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     936035
    num cache misses                 |         10
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         20
  average dram access latency (ns)   |     117.91
  average dram queueing delay        |      64.48
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
