                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1392493 |    1389362 |    1395594 |    1393665 |    1392746 |    1395802 |    1393393 |    1394571 |    1394918 |    1395019 |    1395296 |    1393894 |    1394050 |    1392582 |    1394005 |    1393416
  Cycles                             |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094 |  101889094
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171 |   38304171
  Idle time (ns)                     |   36892248 |   36916296 |   36878497 |   36889279 |   36894840 |   36879182 |   36890558 |   36887626 |   36890189 |   36889530 |   36887749 |   36894910 |   36896526 |   36903061 |   36895274 |   36899604
  Idle time (%)                      |      96.3% |      96.4% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     108914 |     108501 |     109343 |     109018 |     108944 |     109325 |     109025 |     109177 |     109208 |     109185 |     109464 |     109082 |     109090 |     108887 |     109058 |     109054
  num incorrect                      |        158 |        123 |        208 |        217 |        174 |        227 |        183 |        204 |        227 |        235 |        201 |        199 |        212 |        187 |        218 |        179
  misprediction rate                 |      0.14% |      0.11% |      0.19% |      0.20% |      0.16% |      0.21% |      0.17% |      0.19% |      0.21% |      0.21% |      0.18% |      0.18% |      0.19% |      0.17% |      0.20% |      0.16%
  mpki                               |       0.11 |       0.09 |       0.15 |       0.16 |       0.12 |       0.16 |       0.13 |       0.15 |       0.16 |       0.17 |       0.14 |       0.14 |       0.15 |       0.13 |       0.16 |       0.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     219474 |     219390 |     219655 |     219644 |     219558 |     219832 |     219602 |     219656 |     219666 |     219739 |     219302 |     219626 |     219638 |     219598 |     219679 |     219550
    num cache misses                 |         21 |         66 |         65 |         66 |         66 |         65 |         66 |         66 |         66 |         65 |         65 |         66 |         66 |         66 |         65 |         66
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.02 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     948742 |     947675 |     949863 |     949216 |     948873 |     950017 |     949109 |     949523 |     949642 |     949708 |     949626 |     949284 |     949341 |     948835 |     949345 |     949093
    num cache misses                 |       2204 |       1651 |       2694 |       2330 |       2185 |       2441 |       2261 |       2402 |       2377 |       2357 |       2553 |       2231 |       2222 |       2013 |       2219 |       2185
    miss rate                        |      0.23% |      0.17% |      0.28% |      0.25% |      0.23% |      0.26% |      0.24% |      0.25% |      0.25% |      0.25% |      0.27% |      0.24% |      0.23% |      0.21% |      0.23% |      0.23%
    mpki                             |       1.58 |       1.19 |       1.93 |       1.67 |       1.57 |       1.75 |       1.62 |       1.72 |       1.70 |       1.69 |       1.83 |       1.60 |       1.59 |       1.45 |       1.59 |       1.57
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2645 |       2150 |       3206 |       2809 |       2673 |       2954 |       2718 |       2888 |       2953 |       2894 |       3126 |       2798 |       2780 |       2555 |       2747 |       2738
    num cache misses                 |       2225 |       1716 |       2758 |       2395 |       2250 |       2505 |       2327 |       2467 |       2442 |       2421 |       2617 |       2296 |       2287 |       2078 |       2283 |       2250
    miss rate                        |     84.12% |     79.81% |     86.03% |     85.26% |     84.18% |     84.80% |     85.61% |     85.42% |     82.70% |     83.66% |     83.72% |     82.06% |     82.27% |     81.33% |     83.11% |     82.18%
    mpki                             |       1.60 |       1.24 |       1.98 |       1.72 |       1.62 |       1.79 |       1.67 |       1.77 |       1.75 |       1.74 |       1.88 |       1.65 |       1.64 |       1.49 |       1.64 |       1.61
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2645 |       2149 |       3205 |       2808 |       2672 |       2953 |       2717 |       2887 |       2952 |       2893 |       3125 |       2797 |       2779 |       2554 |       2746 |       2737
    num cache misses                 |       1223 |        845 |       1682 |       1309 |       1157 |       1488 |       1265 |       1334 |       1238 |       1161 |       1459 |       1211 |       1120 |       1053 |       1126 |       1131
    miss rate                        |     46.24% |     39.32% |     52.48% |     46.62% |     43.30% |     50.39% |     46.56% |     46.21% |     41.94% |     40.13% |     46.69% |     43.30% |     40.30% |     41.23% |     41.01% |     41.32%
    mpki                             |       0.88 |       0.61 |       1.21 |       0.94 |       0.83 |       1.07 |       0.91 |       0.96 |       0.89 |       0.83 |       1.05 |       0.87 |       0.80 |       0.76 |       0.81 |       0.81
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        405 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     308.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     254.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          7 |          7 |          7 |          7 |         35 |          7 |          7 |         14 |          7 |          8 |         26 |          8 |          8 |          8 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        700 |        573 |        838 |        732 |        693 |        792 |        711 |        745 |        705 |        680 |        700 |        704 |        692 |        660 |        663 |        691
