                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  118419032 |  116762053 |  117857411 |  122254195 |  118806961 |  123941657 |  117732801 |  116254493 |  119737085 |  113684744 |  124363530 |  124599547 |  119927397 |  122142899 |  106726701 |  124857829
  Cycles                             |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297 |   48788297
  IPC                                |       2.43 |       2.39 |       2.42 |       2.51 |       2.44 |       2.54 |       2.41 |       2.38 |       2.45 |       2.33 |       2.55 |       2.55 |       2.46 |       2.50 |       2.19 |       2.56
  Time (ns)                          |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465 |   18341465
  Idle time (ns)                     |     744215 |    1118568 |    1001742 |     422406 |     909756 |     207110 |    1065284 |    1269994 |     563237 |    1546342 |      87507 |      88608 |     768250 |     455134 |    2578004 |      90813
  Idle time (%)                      |       4.1% |       6.1% |       5.5% |       2.3% |       5.0% |       1.1% |       5.8% |       6.9% |       3.1% |       8.4% |       0.5% |       0.5% |       4.2% |       2.5% |      14.1% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   19613694 |   19337550 |   19520057 |   20252887 |   19678334 |   20534106 |   19499331 |   19252949 |   19833403 |   18824658 |   20604459 |   20643791 |   19865100 |   20234355 |   17664981 |   20686855
  num incorrect                      |        511 |        493 |        545 |        507 |        529 |        537 |        499 |        494 |        474 |        494 |        492 |        498 |        497 |        495 |        498 |        484
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   39231172 |   38678866 |   39043971 |   40509598 |   39360465 |   41072055 |   39002475 |   38509709 |   39670571 |   37653139 |   41212706 |   41291377 |   39733991 |   40472469 |   35333781 |   41377441
    num cache misses                 |         15 |         12 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   39956551 |   39404207 |   39769339 |   41234912 |   40085875 |   41797420 |   39727772 |   39235004 |   40395866 |   38378405 |   41938023 |   42016697 |   40459317 |   41197834 |   36059065 |   42102815
    num cache misses                 |      34209 |      31917 |      31824 |      32699 |      31527 |      32801 |      30669 |      30080 |      34278 |      30765 |      33447 |      33256 |      31395 |      31912 |      27681 |      32063
