                                     | Core 0     | Core 1    
  Instructions                       |    9055139 |    9219831
  Cycles                             |    6834450 |    6834450
  IPC                                |       1.32 |       1.35
  Time (ns)                          |    2569342 |    2569342
  Idle time (ns)                     |     103857 |      79256
  Idle time (%)                      |       4.0% |       3.1%
Branch predictor stats               |            |           
  num correct                        |    1643263 |    1676191
  num incorrect                      |        184 |        192
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3291883 |    3357758
    num cache misses                 |         12 |         14
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5555343 |    5654155
    num cache misses                 |       6346 |       6356
    miss rate                        |      0.11% |      0.11%
    mpki                             |       0.70 |       0.69
  Cache L2                           |            |           
    num cache accesses               |       6493 |       6495
    num cache misses                 |         19 |          8
    miss rate                        |      0.29% |      0.12%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         21 |         10
    num cache misses                 |         19 |          8
    miss rate                        |     90.48% |     80.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         27 |          0
  average dram access latency (ns)   |     128.59 |        inf
  average dram queueing delay        |      75.16 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
