                                     | Core 0     | Core 1    
  Instructions                       |   10587430 |    9152874
  Cycles                             |    6800226 |    6800226
  IPC                                |       1.56 |       1.35
  Time (ns)                          |    2556476 |    2556476
  Idle time (ns)                     |      79594 |     260962
  Idle time (%)                      |       3.1% |      10.2%
Branch predictor stats               |            |           
  num correct                        |    1642036 |    1402961
  num incorrect                      |        221 |        208
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3287474 |    2809273
    num cache misses                 |         11 |         10
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4012547 |    3534375
    num cache misses                 |       1476 |       1958
    miss rate                        |      0.04% |      0.06%
    mpki                             |       0.14 |       0.21
  Cache L2                           |            |           
    num cache accesses               |       2570 |       2569
    num cache misses                 |         10 |         19
    miss rate                        |      0.39% |      0.74%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         12 |         20
    num cache misses                 |         10 |         19
    miss rate                        |     83.33% |     95.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      87.92 |        inf
  average dram queueing delay        |      34.49 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
