                                     | Core 0     | Core 1    
  Instructions                       |   10249565 |   10617349
  Cycles                             |    6807090 |    6807090
  IPC                                |       1.51 |       1.56
  Time (ns)                          |    2559057 |    2559057
  Idle time (ns)                     |     125197 |      78769
  Idle time (%)                      |       4.9% |       3.1%
Branch predictor stats               |            |           
  num correct                        |    1585903 |    1647200
  num incorrect                      |        214 |        214
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3173193 |    3295784
    num cache misses                 |         11 |         11
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    3900262 |    4022860
    num cache misses                 |       1840 |       1853
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.18 |       0.17
  Cache L2                           |            |           
    num cache accesses               |       2768 |       2767
    num cache misses                 |         15 |         11
    miss rate                        |      0.54% |      0.40%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         17 |         12
    num cache misses                 |         15 |         11
    miss rate                        |     88.24% |     91.67%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      83.70 |        inf
  average dram queueing delay        |      30.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
