                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   25979885 |   27509854 |   24476972 |   28709985
  Cycles                             |   12919204 |   12919204 |   12919204 |   12919204
  IPC                                |       2.01 |       2.13 |       1.89 |       2.22
  Time (ns)                          |    4856844 |    4856844 |    4856844 |    4856844
  Idle time (ns)                     |     428552 |     233532 |     618060 |      83089
  Idle time (%)                      |       8.8% |       4.8% |      12.7% |       1.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    4207368 |    4462330 |    3956856 |    4662385
  num incorrect                      |        298 |        333 |        326 |        297
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    8418266 |    8928251 |    7917297 |    9328318
    num cache misses                 |         14 |         15 |         15 |         13
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    9143388 |    9653383 |    8642417 |   10053404
    num cache misses                 |       6307 |       6693 |       5907 |       6467
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.06%
    mpki                             |       0.24 |       0.24 |       0.24 |       0.23
  Cache L2                           |            |            |            |           
    num cache accesses               |       8022 |       7985 |       7362 |       7597
    num cache misses                 |         10 |          8 |         16 |          9
    miss rate                        |      0.12% |      0.10% |      0.22% |      0.12%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |         10 |         18 |         10
    num cache misses                 |         10 |          8 |         16 |          9
    miss rate                        |     90.91% |     80.00% |     88.89% |     90.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |      77.08 |        inf |        inf |        inf
  average dram queueing delay        |      23.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
