                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   61604147 |   59413239 |   62023188 |   64051580 |   61596079 |   62319891 |   62817252 |   62262376
  Cycles                             |   25121022 |   25121022 |   25121022 |   25121022 |   25121022 |   25121022 |   25121022 |   25121022
  IPC                                |       2.45 |       2.37 |       2.47 |       2.55 |       2.45 |       2.48 |       2.50 |       2.48
  Time (ns)                          |    9443993 |    9443993 |    9443993 |    9443993 |    9443993 |    9443993 |    9443993 |    9443993
  Idle time (ns)                     |     370364 |     663162 |     336443 |      88187 |     296913 |     229069 |     203500 |     290242
  Idle time (%)                      |       3.9% |       7.0% |       3.6% |       0.9% |       3.1% |       2.4% |       2.2% |       3.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10144783 |    9779600 |   10214622 |   10552727 |   10143461 |   10264089 |   10347012 |   10254516
  num incorrect                      |        439 |        468 |        439 |        402 |        417 |        423 |        396 |        411
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20291334 |   19561036 |   20431023 |   21107140 |   20288651 |   20529922 |   20695699 |   20510752
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21018521 |   20288219 |   21158192 |   21834341 |   21015828 |   21257098 |   21422896 |   21237923
    num cache misses                 |      10428 |       9775 |      10454 |      10454 |      13385 |      13444 |      12942 |      12374
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.17 |       0.16 |       0.17 |       0.16 |       0.22 |       0.22 |       0.21 |       0.20
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12834 |      11518 |      12184 |      12032 |      14403 |      14476 |      13732 |      13299
    num cache misses                 |       2422 |       1364 |       1020 |        885 |       4655 |       3161 |       1465 |        971
    miss rate                        |     18.87% |     11.84% |      8.37% |      7.36% |     32.32% |     21.84% |     10.67% |      7.30%
    mpki                             |       0.04 |       0.02 |       0.02 |       0.01 |       0.08 |       0.05 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4577 |       2718 |       2381 |       2189 |       5007 |       3580 |       1879 |       1400
    num cache misses                 |         15 |          6 |          6 |          5 |          5 |         15 |          5 |          5
    miss rate                        |      0.33% |      0.22% |      0.25% |      0.23% |      0.10% |      0.42% |      0.27% |      0.36%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      74.71 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      21.28 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          4 |          3 |          5 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
