threads=1 	| grain=1	| real-locks-tas-ts 	| Execution time:0.780976 seconds
threads=2 	| grain=1	| real-locks-tas-ts 	| Execution time:3.882640 seconds
threads=4 	| grain=1	| real-locks-tas-ts 	| Execution time:57.718877 seconds
threads=8 	| grain=1	| real-locks-tas-ts 	| Execution time:224.360301 seconds
threads=14 	| grain=1	| real-locks-tas-ts 	| Execution time:974.625515 seconds
threads=1 	| grain=1	| real-locks-ttas-ts 	| Execution time:0.806397 seconds
threads=2 	| grain=1	| real-locks-ttas-ts 	| Execution time:3.739899 seconds
threads=4 	| grain=1	| real-locks-ttas-ts 	| Execution time:50.342496 seconds
threads=8 	| grain=1	| real-locks-ttas-ts 	| Execution time:121.358769 seconds
threads=14 	| grain=1	| real-locks-ttas-ts 	| Execution time:389.667586 seconds
threads=1 	| grain=1	| real-locks-tas-cas 	| Execution time:0.860821 seconds
threads=2 	| grain=1	| real-locks-tas-cas 	| Execution time:3.658329 seconds
threads=4 	| grain=1	| real-locks-tas-cas 	| Execution time:60.532021 seconds
threads=8 	| grain=1	| real-locks-tas-cas 	| Execution time:289.639475 seconds
threads=14 	| grain=1	| real-locks-tas-cas 	| Execution time:1769.287688 seconds
threads=1 	| grain=1	| real-locks-ttas-cas 	| Execution time:0.850007 seconds
threads=2 	| grain=1	| real-locks-ttas-cas 	| Execution time:3.963279 seconds
threads=4 	| grain=1	| real-locks-ttas-cas 	| Execution time:47.584698 seconds
threads=8 	| grain=1	| real-locks-ttas-cas 	| Execution time:119.301396 seconds
threads=14 	| grain=1	| real-locks-ttas-cas 	| Execution time:273.401080 seconds
threads=1 	| grain=10	| real-locks-tas-ts 	| Execution time:2.302837 seconds
threads=2 	| grain=10	| real-locks-tas-ts 	| Execution time:21.125752 seconds
threads=4 	| grain=10	| real-locks-tas-ts 	| Execution time:84.233005 seconds
threads=8 	| grain=10	| real-locks-tas-ts 	| Execution time:190.209294 seconds
threads=14 	| grain=10	| real-locks-tas-ts 	| Execution time:594.576825 seconds
threads=1 	| grain=10	| real-locks-ttas-ts 	| Execution time:2.288430 seconds
threads=2 	| grain=10	| real-locks-ttas-ts 	| Execution time:9.340017 seconds
threads=4 	| grain=10	| real-locks-ttas-ts 	| Execution time:54.420104 seconds
threads=8 	| grain=10	| real-locks-ttas-ts 	| Execution time:139.060135 seconds
threads=14 	| grain=10	| real-locks-ttas-ts 	| Execution time:675.604302 seconds
threads=1 	| grain=10	| real-locks-tas-cas 	| Execution time:2.295686 seconds
threads=2 	| grain=10	| real-locks-tas-cas 	| Execution time:22.034991 seconds
threads=4 	| grain=10	| real-locks-tas-cas 	| Execution time:74.453183 seconds
threads=8 	| grain=10	| real-locks-tas-cas 	| Execution time:273.203323 seconds
threads=14 	| grain=10	| real-locks-tas-cas 	| Execution time:609.523944 seconds
threads=1 	| grain=10	| real-locks-ttas-cas 	| Execution time:2.292043 seconds
threads=2 	| grain=10	| real-locks-ttas-cas 	| Execution time:9.571957 seconds
threads=4 	| grain=10	| real-locks-ttas-cas 	| Execution time:51.527876 seconds
threads=8 	| grain=10	| real-locks-ttas-cas 	| Execution time:139.272504 seconds
threads=14 	| grain=10	| real-locks-ttas-cas 	| Execution time:578.959495 seconds
threads=1 	| grain=100	| real-locks-tas-ts 	| Execution time:49.239837 seconds
threads=2 	| grain=100	| real-locks-tas-ts 	| Execution time:134.082897 seconds
threads=4 	| grain=100	| real-locks-tas-ts 	| Execution time:300.760510 seconds
threads=8 	| grain=100	| real-locks-tas-ts 	| Execution time:737.064319 seconds
threads=14 	| grain=100	| real-locks-tas-ts 	| Execution time:1846.179049 seconds
threads=1 	| grain=100	| real-locks-ttas-ts 	| Execution time:49.397689 seconds
threads=2 	| grain=100	| real-locks-ttas-ts 	| Execution time:108.928198 seconds
threads=4 	| grain=100	| real-locks-ttas-ts 	| Execution time:279.945016 seconds
threads=8 	| grain=100	| real-locks-ttas-ts 	| Execution time:705.221588 seconds
threads=14 	| grain=100	| real-locks-ttas-ts 	| Execution time:2382.552865 seconds
threads=1 	| grain=100	| real-locks-tas-cas 	| Execution time:49.269810 seconds
threads=2 	| grain=100	| real-locks-tas-cas 	| Execution time:133.841187 seconds
threads=4 	| grain=100	| real-locks-tas-cas 	| Execution time:309.591776 seconds
threads=8 	| grain=100	| real-locks-tas-cas 	| Execution time:738.172605 seconds
threads=14 	| grain=100	| real-locks-tas-cas 	| Execution time:1757.574838 seconds
threads=1 	| grain=100	| real-locks-ttas-cas 	| Execution time:49.345356 seconds
threads=2 	| grain=100	| real-locks-ttas-cas 	| Execution time:110.775106 seconds
threads=4 	| grain=100	| real-locks-ttas-cas 	| Execution time:268.847989 seconds
threads=8 	| grain=100	| real-locks-ttas-cas 	| Execution time:720.521696 seconds
threads=14 	| grain=100	| real-locks-ttas-cas 	| Execution time:2163.274672 seconds
