                                     | Core 0    
  Instructions                       |      66959
  Cycles                             |     234836
  IPC                                |       0.29
  Time (ns)                          |      88284
  Idle time (ns)                     |      76966
  Idle time (%)                      |      87.2%
Branch predictor stats               |           
  num correct                        |       4005
  num incorrect                      |          5
  misprediction rate                 |      0.12%
  mpki                               |       0.07
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      12012
    num cache misses                 |         11
    miss rate                        |      0.09%
    mpki                             |       0.16
  Cache L1-D                         |           
    num cache accesses               |      43035
    num cache misses                 |          9
    miss rate                        |      0.02%
    mpki                             |       0.13
  Cache L2                           |           
    num cache accesses               |         22
    num cache misses                 |         20
    miss rate                        |     90.91%
    mpki                             |       0.30
  Cache L3                           |           
    num cache accesses               |         22
    num cache misses                 |         20
    miss rate                        |     90.91%
    mpki                             |       0.30
DRAM summary                         |           
  num dram accesses                  |         20
  average dram access latency (ns)   |     118.07
  average dram queueing delay        |      64.64
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          5
  num loads from dram cache          |          0
  num loads from remote cache        |          0
