                                     | Core 0    
  Instructions                       |      65958
  Cycles                             |     234557
  IPC                                |       0.28
  Time (ns)                          |      88180
  Idle time (ns)                     |      76958
  Idle time (%)                      |      87.3%
Branch predictor stats               |           
  num correct                        |       4005
  num incorrect                      |          5
  misprediction rate                 |      0.12%
  mpki                               |       0.08
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      13012
    num cache misses                 |         12
    miss rate                        |      0.09%
    mpki                             |       0.18
  Cache L1-D                         |           
    num cache accesses               |      43035
    num cache misses                 |          9
    miss rate                        |      0.02%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.32
  Cache L3                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.32
DRAM summary                         |           
  num dram accesses                  |         21
  average dram access latency (ns)   |     122.47
  average dram queueing delay        |      69.04
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          5
  num loads from dram cache          |          0
  num loads from remote cache        |          0
