                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      85908 |      85949 |      86743 |      87754 |      86846 |      86903 |      88084 |      87172 |      87645 |      85371 |      85779 |      86735 |      86202 |      88314 |      86251 |      86172
  Cycles                             |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436 |    3928436
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856 |    1476856
  Idle time (ns)                     |    1419908 |    1427017 |    1418167 |    1408301 |    1420466 |    1420914 |    1409658 |    1418083 |    1407908 |    1422293 |    1431163 |    1415786 |    1425204 |    1420016 |    1426888 |    1425306
  Idle time (%)                      |      96.1% |      96.6% |      96.0% |      95.4% |      96.2% |      96.2% |      95.4% |      96.0% |      95.3% |      96.3% |      96.9% |      95.9% |      96.5% |      96.2% |      96.6% |      96.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       9036 |       9104 |       9093 |       9161 |       9099 |       9130 |       9135 |       9139 |       9114 |       9055 |       9075 |       9119 |       9165 |       9383 |       9119 |       9067
  num incorrect                      |        229 |        190 |        227 |        252 |        229 |        212 |        284 |        244 |        275 |        183 |        189 |        215 |        174 |        246 |        205 |        214
  misprediction rate                 |      2.47% |      2.04% |      2.44% |      2.68% |      2.45% |      2.27% |      3.02% |      2.60% |      2.93% |      1.98% |      2.04% |      2.30% |      1.86% |      2.55% |      2.20% |      2.31%
  mpki                               |       2.67 |       2.21 |       2.62 |       2.87 |       2.64 |       2.44 |       3.22 |       2.80 |       3.14 |       2.14 |       2.20 |       2.48 |       2.02 |       2.79 |       2.38 |       2.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16262 |      16215 |      16439 |      16620 |      16469 |      16455 |      16728 |      16469 |      16629 |      16120 |      16210 |      16411 |      16212 |      16539 |      16261 |      16308
    num cache misses                 |         20 |         22 |         22 |         21 |         22 |         22 |         22 |         22 |         22 |         21 |         21 |         22 |         22 |         64 |         22 |         21
    miss rate                        |      0.12% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.14% |      0.39% |      0.14% |      0.13%
    mpki                             |       0.23 |       0.26 |       0.25 |       0.24 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.25 |       0.26 |       0.72 |       0.26 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      49185 |      49180 |      49527 |      49952 |      49583 |      49591 |      50102 |      49693 |      49913 |      48947 |      49119 |      49520 |      49267 |      50134 |      49299 |      49281
    num cache misses                 |       1374 |       1171 |       1417 |       1785 |       1362 |       1371 |       1649 |       1449 |       1785 |       1301 |       1002 |       1486 |       1234 |       1275 |       1126 |       1199
    miss rate                        |      2.79% |      2.38% |      2.86% |      3.57% |      2.75% |      2.76% |      3.29% |      2.92% |      3.58% |      2.66% |      2.04% |      3.00% |      2.50% |      2.54% |      2.28% |      2.43%
    mpki                             |      15.99 |      13.62 |      16.34 |      20.34 |      15.68 |      15.78 |      18.72 |      16.62 |      20.37 |      15.24 |      11.68 |      17.13 |      14.32 |      14.44 |      13.05 |      13.91
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1745 |       1492 |       1856 |       2294 |       1764 |       1754 |       2138 |       1829 |       2380 |       1716 |       1287 |       1903 |       1544 |       1685 |       1460 |       1554
    num cache misses                 |       1398 |       1199 |       1442 |       1816 |       1391 |       1401 |       1685 |       1489 |       1811 |       1326 |       1029 |       1521 |       1275 |       1347 |       1158 |       1237
    miss rate                        |     80.11% |     80.36% |     77.69% |     79.16% |     78.85% |     79.87% |     78.81% |     81.41% |     76.09% |     77.27% |     79.95% |     79.93% |     82.58% |     79.94% |     79.32% |     79.60%
    mpki                             |      16.27 |      13.95 |      16.62 |      20.69 |      16.02 |      16.12 |      19.13 |      17.08 |      20.66 |      15.53 |      12.00 |      17.54 |      14.79 |      15.25 |      13.43 |      14.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1745 |       1492 |       1856 |       2294 |       1764 |       1754 |       2138 |       1829 |       2380 |       1716 |       1287 |       1903 |       1544 |       1684 |       1460 |       1554
    num cache misses                 |        770 |        677 |        850 |       1076 |        881 |        865 |       1039 |        780 |       1249 |        865 |        632 |        981 |        783 |        885 |        700 |        748
    miss rate                        |     44.13% |     45.38% |     45.80% |     46.90% |     49.94% |     49.32% |     48.60% |     42.65% |     52.48% |     50.41% |     49.11% |     51.55% |     50.71% |     52.55% |     47.95% |     48.13%
    mpki                             |       8.96 |       7.88 |       9.80 |      12.26 |      10.14 |       9.95 |      11.80 |       8.95 |      14.25 |      10.13 |       7.37 |      11.31 |       9.08 |      10.02 |       8.12 |       8.68
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        251 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     168.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     114.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          6 |          6 |          6 |          5 |          4 |          4 |          5 |          5 |          4 |          4 |          5 |          5 |         60 |          5 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        424 |        338 |        435 |        556 |        469 |        432 |        515 |        384 |        628 |        451 |        329 |        496 |        382 |        382 |        354 |        389
