                                     | Core 0     | Core 1    
  Instructions                       |      85267 |      86427
  Cycles                             |     533912 |     533912
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     200719 |     200719
  Idle time (ns)                     |     180242 |     179098
  Idle time (%)                      |      89.8% |      89.2%
Branch predictor stats               |            |           
  num correct                        |       9111 |       9280
  num incorrect                      |        206 |        202
  misprediction rate                 |      2.21% |      2.13%
  mpki                               |       2.42 |       2.34
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      16019 |      16193
    num cache misses                 |         65 |         64
    miss rate                        |      0.41% |      0.40%
    mpki                             |       0.76 |       0.74
  Cache L1-D                         |            |           
    num cache accesses               |      48907 |      49384
    num cache misses                 |       1468 |       1445
    miss rate                        |      3.00% |      2.93%
    mpki                             |      17.22 |      16.72
  Cache L2                           |            |           
    num cache accesses               |       1908 |       1917
    num cache misses                 |         66 |         98
    miss rate                        |      3.46% |      5.11%
    mpki                             |       0.77 |       1.13
  Cache L3                           |            |           
    num cache accesses               |         71 |        104
    num cache misses                 |         66 |         98
    miss rate                        |     92.96% |     94.23%
    mpki                             |       0.77 |       1.13
DRAM summary                         |            |           
  num dram accesses                  |        161 |          0
  average dram access latency (ns)   |     171.64 |        inf
  average dram queueing delay        |     118.21 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         26 |         43
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
