                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     111063 |      95960 |     107613 |     102695
  Cycles                             |     318916 |     318916 |     318916 |     318916
  IPC                                |       0.35 |       0.30 |       0.34 |       0.32
  Time (ns)                          |     119893 |     119893 |     119893 |     119893
  Idle time (ns)                     |      79777 |      89034 |      81361 |      84035
  Idle time (%)                      |      66.5% |      74.3% |      67.9% |      70.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      11283 |       8779 |      10728 |       9889
  num incorrect                      |         78 |         63 |         57 |         75
  misprediction rate                 |      0.69% |      0.71% |      0.53% |      0.75%
  mpki                               |       0.70 |       0.66 |       0.53 |       0.73
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      26713 |      21665 |      25556 |      23913
    num cache misses                 |         11 |         15 |         15 |         15
    miss rate                        |      0.04% |      0.07% |      0.06% |      0.06%
    mpki                             |       0.10 |       0.16 |       0.14 |       0.15
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      65086 |      57533 |      63364 |      60901
    num cache misses                 |       8370 |       6561 |       8284 |       7479
    miss rate                        |     12.86% |     11.40% |     13.07% |     12.28%
    mpki                             |      75.36 |      68.37 |      76.98 |      72.83
  Cache L2                           |            |            |            |           
    num cache accesses               |       8513 |       6655 |       8408 |       7577
    num cache misses                 |         13 |          6 |         14 |          8
    miss rate                        |      0.15% |      0.09% |      0.17% |      0.11%
    mpki                             |       0.12 |       0.06 |       0.13 |       0.08
  Cache L3                           |            |            |            |           
    num cache accesses               |         15 |          7 |         15 |          9
    num cache misses                 |         13 |          6 |         14 |          8
    miss rate                        |     86.67% |     85.71% |     93.33% |     88.89%
    mpki                             |       0.12 |       0.06 |       0.13 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |     101.38 |        inf |        inf |        inf
  average dram queueing delay        |      47.95 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          2 |          4 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
