                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     260594 |     231204 |     235866 |     243483
  Cycles                             |     316933 |     316933 |     316933 |     316933
  IPC                                |       0.82 |       0.73 |       0.74 |       0.77
  Time (ns)                          |     119148 |     119148 |     119148 |     119148
  Idle time (ns)                     |      79741 |      82828 |      83448 |      81856
  Idle time (%)                      |      66.9% |      69.5% |      70.0% |      68.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      36481 |      31560 |      32378 |      33625
  num incorrect                      |        137 |        162 |        122 |        144
  misprediction rate                 |      0.37% |      0.51% |      0.38% |      0.43%
  mpki                               |       0.53 |       0.70 |       0.52 |       0.59
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      76192 |      66387 |      67945 |      70481
    num cache misses                 |         11 |         10 |         10 |         10
    miss rate                        |      0.01% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     108271 |      98479 |     100032 |     102572
    num cache misses                 |       4964 |       4475 |       4498 |       4590
    miss rate                        |      4.58% |      4.54% |      4.50% |      4.47%
    mpki                             |      19.05 |      19.36 |      19.07 |      18.85
  Cache L2                           |            |            |            |           
    num cache accesses               |       5815 |       5721 |       5554 |       5518
    num cache misses                 |         15 |         11 |          6 |          4
    miss rate                        |      0.26% |      0.19% |      0.11% |      0.07%
    mpki                             |       0.06 |       0.05 |       0.03 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |         13 |          8 |          6
    num cache misses                 |         15 |         11 |          6 |          4
    miss rate                        |     88.24% |     84.62% |     75.00% |     66.67%
    mpki                             |       0.06 |       0.05 |       0.03 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         32 |          0 |          0 |          0
  average dram access latency (ns)   |     108.29 |        inf |        inf |        inf
  average dram queueing delay        |      54.86 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
