                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      84793 |      83729 |      86005 |      83701 |      84871 |      85293 |      84243 |      84427
  Cycles                             |    1706483 |    1706483 |    1706483 |    1706483 |    1706483 |    1706483 |    1706483 |    1706483
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |     641535 |     641535 |     641535 |     641535 |     641535 |     641535 |     641535 |     641535
  Idle time (ns)                     |     607359 |     613981 |     607105 |     614204 |     612474 |     608245 |     612557 |     610587
  Idle time (%)                      |      94.7% |      95.7% |      94.6% |      95.7% |      95.5% |      94.8% |      95.5% |      95.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       9058 |       9037 |       9270 |       9006 |       9073 |       9069 |       9003 |       9025
  num incorrect                      |        174 |        124 |        193 |        141 |        168 |        190 |        163 |        177
  misprediction rate                 |      1.88% |      1.35% |      2.04% |      1.54% |      1.82% |      2.05% |      1.78% |      1.92%
  mpki                               |       2.05 |       1.48 |       2.24 |       1.68 |       1.98 |       2.23 |       1.93 |       2.10
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15927 |      15698 |      16054 |      15713 |      15949 |      16057 |      15878 |      15861
    num cache misses                 |         21 |         22 |         66 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.13% |      0.14% |      0.41% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.26 |       0.77 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      48680 |      48233 |      49169 |      48232 |      48726 |      48906 |      48479 |      48535
    num cache misses                 |        853 |        614 |        787 |        562 |        764 |        887 |        672 |        789
    miss rate                        |      1.75% |      1.27% |      1.60% |      1.17% |      1.57% |      1.81% |      1.39% |      1.63%
    mpki                             |      10.06 |       7.33 |       9.15 |       6.71 |       9.00 |      10.40 |       7.98 |       9.35
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1079 |        771 |       1010 |        699 |        959 |       1098 |        833 |        976
    num cache misses                 |        558 |        355 |        532 |        346 |        365 |        491 |        378 |        457
    miss rate                        |     51.71% |     46.04% |     52.67% |     49.50% |     38.06% |     44.72% |     45.38% |     46.82%
    mpki                             |       6.58 |       4.24 |       6.19 |       4.13 |       4.30 |       5.76 |       4.49 |       5.41
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        723 |        436 |        616 |        423 |        461 |        600 |        457 |        566
    num cache misses                 |         11 |         20 |        128 |         11 |          9 |         11 |         18 |         13
    miss rate                        |      1.52% |      4.59% |     20.78% |      2.60% |      1.95% |      1.83% |      3.94% |      2.30%
    mpki                             |       0.13 |       0.24 |       1.49 |       0.13 |       0.11 |       0.13 |       0.21 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        194 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     158.05 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     104.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          7 |         60 |          4 |          4 |          4 |          8 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
