                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     115289 |     125541 |     133068 |     111572 |     124591 |     101903 |     122903 |     104066
  Cycles                             |     837858 |     837858 |     837858 |     837858 |     837858 |     837858 |     837858 |     837858
  IPC                                |       0.14 |       0.15 |       0.16 |       0.13 |       0.15 |       0.12 |       0.15 |       0.12
  Time (ns)                          |     314984 |     314984 |     314984 |     314984 |     314984 |     314984 |     314984 |     314984
  Idle time (ns)                     |     114757 |      95368 |      82984 |     138464 |      80206 |     152555 |      96334 |     164932
  Idle time (%)                      |      36.4% |      30.3% |      26.3% |      44.0% |      25.5% |      48.4% |      30.6% |      52.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      12005 |      13710 |      14935 |      11383 |      13540 |       9772 |      13261 |      10133
  num incorrect                      |         55 |         62 |         83 |         61 |         75 |         53 |         71 |         51
  misprediction rate                 |      0.46% |      0.45% |      0.55% |      0.53% |      0.55% |      0.54% |      0.53% |      0.50%
  mpki                               |       0.48 |       0.49 |       0.62 |       0.55 |       0.60 |       0.52 |       0.58 |       0.49
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      28115 |      31531 |      34023 |      26877 |      31218 |      23642 |      30656 |      24363
    num cache misses                 |         15 |         15 |         15 |         15 |         14 |         12 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.06% |      0.04% |      0.05% |      0.05% |      0.06%
    mpki                             |       0.13 |       0.12 |       0.11 |       0.13 |       0.11 |       0.12 |       0.12 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      67200 |      72325 |      76063 |      65342 |      71851 |      60478 |      71005 |      61562
    num cache misses                 |      11348 |      11539 |      11981 |       9563 |      10678 |       8707 |      10987 |       8375
    miss rate                        |     16.89% |     15.95% |     15.75% |     14.64% |     14.86% |     14.40% |     15.47% |     13.60%
    mpki                             |      98.43 |      91.91 |      90.04 |      85.71 |      85.70 |      85.44 |      89.40 |      80.48
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11481 |      11691 |      12139 |       9686 |      10802 |       8795 |      11107 |       8480
    num cache misses                 |       6108 |       5955 |       6231 |       4816 |       7067 |       5117 |       6625 |       4401
    miss rate                        |     53.20% |     50.94% |     51.33% |     49.72% |     65.42% |     58.18% |     59.65% |     51.90%
    mpki                             |      52.98 |      47.43 |      46.83 |      43.16 |      56.72 |      50.21 |      53.90 |      42.29
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6224 |       6026 |       6328 |       4901 |       7151 |       5175 |       6698 |       4456
    num cache misses                 |         10 |          5 |          5 |          8 |         13 |          4 |          5 |          9
    miss rate                        |      0.16% |      0.08% |      0.08% |      0.16% |      0.18% |      0.08% |      0.07% |      0.20%
    mpki                             |       0.09 |       0.04 |       0.04 |       0.07 |       0.10 |       0.04 |       0.04 |       0.09
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      98.72 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      45.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          4 |          5 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
