                                     | Core 0    
  Instructions                       |     187961
  Cycles                             |     427974
  IPC                                |       0.44
  Time (ns)                          |     160893
  Idle time (ns)                     |      76979
  Idle time (%)                      |      47.8%
Branch predictor stats               |           
  num correct                        |      14002
  num incorrect                      |          8
  misprediction rate                 |      0.06%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31012
    num cache misses                 |         11
    miss rate                        |      0.04%
    mpki                             |       0.06
  Cache L1-D                         |           
    num cache accesses               |     126035
    num cache misses                 |         10
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.11
  Cache L3                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |         20
  average dram access latency (ns)   |     117.91
  average dram queueing delay        |      64.48
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
