                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6340762 |    5856658 |    5773757 |    6074543 |    6003871 |    5455850 |    5580762 |    6398870 |    6862331 |    6844926 |    6897077 |    7249220 |    7179182 |    6386120 |    7233879 |    6821840
  Cycles                             |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708 |    5356708
  IPC                                |       1.18 |       1.09 |       1.08 |       1.13 |       1.12 |       1.02 |       1.04 |       1.19 |       1.28 |       1.28 |       1.29 |       1.35 |       1.34 |       1.19 |       1.35 |       1.27
  Time (ns)                          |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800 |    2013800
  Idle time (ns)                     |     165149 |     346741 |     364786 |     324879 |     332577 |     464525 |     449871 |     222107 |     105566 |     141945 |     140172 |      89511 |      90477 |     327763 |      96312 |     171464
  Idle time (%)                      |       8.2% |      17.2% |      18.1% |      16.1% |      16.5% |      23.1% |      22.3% |      11.0% |       5.2% |       7.0% |       7.0% |       4.4% |       4.5% |      16.3% |       4.8% |       8.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1039214 |     958545 |     944724 |     994846 |     983061 |     891761 |     912563 |    1048896 |    1126136 |    1123256 |    1131944 |    1190638 |    1178984 |    1046760 |    1188064 |    1119408
  num incorrect                      |        271 |        255 |        260 |        269 |        276 |        238 |        255 |        270 |        274 |        256 |        260 |        252 |        236 |        285 |        273 |        256
  misprediction rate                 |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2081832 |    1920477 |    1892837 |    1993099 |    1969547 |    1786888 |    1828519 |    2101243 |    2255702 |    2249905 |    2267285 |    2384696 |    2361335 |    2096981 |    2379551 |    2242215
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         12 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         13 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
