                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6515387 |    6469544 |    5555840 |    5400846 |    6263536 |    5465650 |    6582062 |    6352018 |    6198960 |    6708917 |    6640830 |    6319262 |    6399740 |    4405036 |    6530366 |    6452546
  Cycles                             |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872 |    5317872
  IPC                                |       1.23 |       1.22 |       1.04 |       1.02 |       1.18 |       1.03 |       1.24 |       1.19 |       1.17 |       1.26 |       1.25 |       1.19 |       1.20 |       0.83 |       1.23 |       1.21
  Time (ns)                          |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200 |    1999200
  Idle time (ns)                     |      89949 |     180174 |     417886 |     471622 |     238119 |     468283 |     176993 |     243156 |     182332 |      85537 |     119711 |     227052 |     227248 |     763462 |     170705 |     178308
  Idle time (%)                      |       4.5% |       9.0% |      20.9% |      23.6% |      11.9% |      23.4% |       8.9% |      12.2% |       9.1% |       4.3% |       6.0% |      11.4% |      11.4% |      38.2% |       8.5% |       8.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1068543 |    1060885 |     908563 |     882715 |    1026525 |     893567 |    1079626 |    1041265 |    1015775 |    1100773 |    1089408 |    1035820 |    1049227 |     716796 |    1070995 |    1058044
  num incorrect                      |        223 |        242 |        279 |        294 |        267 |        242 |        251 |        272 |        257 |        250 |        265 |        262 |        264 |        243 |        271 |        249
  misprediction rate                 |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02%
  mpki                               |       0.03 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2138398 |    2123113 |    1818549 |    1766887 |    2054447 |    1788493 |    2160631 |    2083929 |    2032911 |    2202898 |    2180215 |    2073013 |    2099858 |    1434963 |    2143381 |    2117453
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         14
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2235621 |    2220345 |    1915773 |    1864105 |    2151675 |    1885703 |    2257836 |    2181183 |    2130158 |    2300143 |    2277433 |    2170258 |    2197061 |    1532154 |    2240626 |    2214673
    num cache misses                 |      28938 |      26596 |      22826 |      21783 |      25393 |      21572 |      25971 |      24851 |      27222 |      28050 |      27184 |      25180 |      25068 |      16808 |      25706 |      25342
    miss rate                        |      1.29% |      1.20% |      1.19% |      1.17% |      1.18% |      1.14% |      1.15% |      1.14% |      1.28% |      1.22% |      1.19% |      1.16% |      1.14% |      1.10% |      1.15% |      1.14%
    mpki                             |       4.44 |       4.11 |       4.11 |       4.03 |       4.05 |       3.95 |       3.95 |       3.91 |       4.39 |       4.18 |       4.09 |       3.98 |       3.92 |       3.82 |       3.94 |       3.93
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30945 |      28593 |      24841 |      23789 |      27422 |      23627 |      28029 |      26915 |      29625 |      29849 |      29176 |      27230 |      27097 |      18859 |      27759 |      27410
    num cache misses                 |      28962 |      26624 |      22870 |      21831 |      25444 |      21619 |      26027 |      24909 |      27244 |      28080 |      27218 |      25220 |      25117 |      16838 |      25754 |      25389
    miss rate                        |     93.59% |     93.11% |     92.07% |     91.77% |     92.79% |     91.50% |     92.86% |     92.55% |     91.96% |     94.07% |     93.29% |     92.62% |     92.69% |     89.28% |     92.78% |     92.63%
    mpki                             |       4.45 |       4.12 |       4.12 |       4.04 |       4.06 |       3.96 |       3.95 |       3.92 |       4.39 |       4.19 |       4.10 |       3.99 |       3.92 |       3.82 |       3.94 |       3.93
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30945 |      28593 |      24841 |      23789 |      27422 |      23627 |      28029 |      26915 |      29625 |      29849 |      29176 |      27230 |      27097 |      18859 |      27759 |      27410
    num cache misses                 |      18449 |      17156 |      14101 |      13222 |      16065 |      13377 |      17057 |      16691 |      17138 |      18328 |      17363 |      16025 |      16030 |      10941 |      16807 |      17105
    miss rate                        |     59.62% |     60.00% |     56.77% |     55.58% |     58.58% |     56.62% |     60.85% |     62.01% |     57.85% |     61.40% |     59.51% |     58.85% |     59.16% |     58.01% |     60.55% |     62.40%
