                                     | Core 0     | Core 1    
  Instructions                       |     421805 |     416447
  Cycles                             |     548911 |     548911
  IPC                                |       0.77 |       0.76
  Time (ns)                          |     206358 |     206358
  Idle time (ns)                     |      80608 |      81346
  Idle time (%)                      |      39.1% |      39.4%
Branch predictor stats               |            |           
  num correct                        |      60616 |      59544
  num incorrect                      |        162 |        163
  misprediction rate                 |      0.27% |      0.27%
  mpki                               |       0.38 |       0.39
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     126552 |     124401
    num cache misses                 |         12 |         14
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     267341 |     264124
    num cache misses                 |       4275 |       4309
    miss rate                        |      1.60% |      1.63%
    mpki                             |      10.14 |      10.35
  Cache L2                           |            |           
    num cache accesses               |       4522 |       4524
    num cache misses                 |         14 |         14
    miss rate                        |      0.31% |      0.31%
    mpki                             |       0.03 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         16 |         15
    num cache misses                 |         14 |         14
    miss rate                        |     87.50% |     93.33%
    mpki                             |       0.03 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         27 |          0
  average dram access latency (ns)   |      88.27 |        inf
  average dram queueing delay        |      34.84 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
