                                     | Core 0     | Core 1    
  Instructions                       |     622564 |     595562
  Cycles                             |     599289 |     599289
  IPC                                |       1.04 |       0.99
  Time (ns)                          |     225297 |     225297
  Idle time (ns)                     |      78110 |      82082
  Idle time (%)                      |      34.7% |      36.4%
Branch predictor stats               |            |           
  num correct                        |      86295 |      81797
  num incorrect                      |        150 |        151
  misprediction rate                 |      0.17% |      0.18%
  mpki                               |       0.24 |       0.25
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     175860 |     166857
    num cache misses                 |         11 |         11
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     270918 |     261921
    num cache misses                 |       1733 |       1357
    miss rate                        |      0.64% |      0.52%
    mpki                             |       2.78 |       2.28
  Cache L2                           |            |           
    num cache accesses               |       2330 |       2329
    num cache misses                 |         14 |         12
    miss rate                        |      0.60% |      0.52%
    mpki                             |       0.02 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         16 |         14
    num cache misses                 |         14 |         12
    miss rate                        |     87.50% |     85.71%
    mpki                             |       0.02 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |     128.07 |        inf
  average dram queueing delay        |      74.64 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
