                                     | Core 0     | Core 1    
  Instructions                       |     635837 |     659323
  Cycles                             |     612585 |     612585
  IPC                                |       1.04 |       1.08
  Time (ns)                          |     230295 |     230295
  Idle time (ns)                     |      82058 |      79131
  Idle time (%)                      |      35.6% |      34.4%
Branch predictor stats               |            |           
  num correct                        |      88701 |      92599
  num incorrect                      |        126 |        142
  misprediction rate                 |      0.14% |      0.15%
  mpki                               |       0.20 |       0.22
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     178625 |     186450
    num cache misses                 |         11 |         11
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     275676 |     283508
    num cache misses                 |       1297 |       1659
    miss rate                        |      0.47% |      0.59%
    mpki                             |       2.04 |       2.52
  Cache L2                           |            |           
    num cache accesses               |       2230 |       2230
    num cache misses                 |         16 |         11
    miss rate                        |      0.72% |      0.49%
    mpki                             |       0.03 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         18 |         12
    num cache misses                 |         16 |         11
    miss rate                        |     88.89% |     91.67%
    mpki                             |       0.03 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      83.70 |        inf
  average dram queueing delay        |      30.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
