                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     537861 |     564208 |     494870 |     570154 |     341696 |     453585 |     434469 |     528951
  Cycles                             |    3237981 |    3237981 |    3237981 |    3237981 |    3237981 |    3237981 |    3237981 |    3237981
  IPC                                |       0.17 |       0.17 |       0.15 |       0.18 |       0.11 |       0.14 |       0.13 |       0.16
  Time (ns)                          |    1217286 |    1217286 |    1217286 |    1217286 |    1217286 |    1217286 |    1217286 |    1217286
  Idle time (ns)                     |     103676 |      83428 |     221314 |     127388 |     528607 |     132658 |     235923 |      81181
  Idle time (%)                      |       8.5% |       6.9% |      18.2% |      10.5% |      43.4% |      10.9% |      19.4% |       6.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      83880 |      89147 |      75298 |      90340 |      44675 |      67028 |      63204 |      82081
  num incorrect                      |        106 |        113 |         88 |        106 |         79 |        104 |        106 |        125
  misprediction rate                 |      0.13% |      0.13% |      0.12% |      0.12% |      0.18% |      0.15% |      0.17% |      0.15%
  mpki                               |       0.20 |       0.20 |       0.18 |       0.19 |       0.23 |       0.23 |       0.24 |       0.24
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     172964 |     183505 |     155768 |     185879 |      94501 |     139259 |     131609 |     169403
    num cache misses                 |         16 |         14 |         16 |         16 |         16 |         16 |         16 |         13
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.03 |       0.05 |       0.04 |       0.04 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     336970 |     352783 |     311176 |     356347 |     219272 |     286407 |     274937 |     331626
    num cache misses                 |      55183 |      53477 |      48196 |      54225 |      28516 |      44421 |      41832 |      47463
    miss rate                        |     16.38% |     15.16% |     15.49% |     15.22% |     13.00% |     15.51% |     15.22% |     14.31%
    mpki                             |     102.60 |      94.78 |      97.39 |      95.11 |      83.45 |      97.93 |      96.28 |      89.73
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      55306 |      53607 |      48286 |      54318 |      28573 |      44501 |      41897 |      47556
    num cache misses                 |      28316 |      27079 |      23793 |      25508 |      17469 |      30067 |      26298 |      30984
    miss rate                        |     51.20% |     50.51% |     49.28% |     46.96% |     61.14% |     67.56% |     62.77% |     65.15%
    mpki                             |      52.65 |      47.99 |      48.08 |      44.74 |      51.12 |      66.29 |      60.53 |      58.58
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      28430 |      27169 |      23857 |      25563 |      17512 |      30122 |      26341 |      31042
    num cache misses                 |         13 |         14 |          5 |          9 |          5 |         12 |          5 |          5
    miss rate                        |      0.05% |      0.05% |      0.02% |      0.04% |      0.03% |      0.04% |      0.02% |      0.02%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.03 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         60 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.35 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      46.92 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          4 |          4 |          3 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
