                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3605555 |    4283902 |    4037630 |    4236891 |    4077096 |    3396679 |    4194435 |    4333298
  Cycles                             |    2210937 |    2210937 |    2210937 |    2210937 |    2210937 |    2210937 |    2210937 |    2210937
  IPC                                |       1.63 |       1.94 |       1.83 |       1.92 |       1.84 |       1.54 |       1.90 |       1.96
  Time (ns)                          |     831180 |     831180 |     831180 |     831180 |     831180 |     831180 |     831180 |     831180
  Idle time (ns)                     |     127010 |      79411 |     122538 |     109912 |      79243 |     191548 |     107548 |      99103
  Idle time (%)                      |      15.3% |       9.6% |      14.7% |      13.2% |       9.5% |      23.0% |      12.9% |      11.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     583387 |     696430 |     655381 |     688611 |     661939 |     548560 |     681526 |     704652
  num incorrect                      |        233 |        243 |        248 |        233 |        271 |        240 |        241 |        253
  misprediction rate                 |      0.04% |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04%
  mpki                               |       0.06 |       0.06 |       0.06 |       0.05 |       0.07 |       0.07 |       0.06 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1170119 |    1396233 |    1314127 |    1380562 |    1327277 |    1100515 |    1366412 |    1412705
    num cache misses                 |         11 |         15 |         15 |         11 |         12 |         15 |         11 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1265307 |    1491426 |    1409347 |    1475756 |    1422506 |    1195666 |    1461601 |    1507886
    num cache misses                 |      11617 |      12103 |      11314 |      11385 |      11745 |       9656 |      11108 |      10907
    miss rate                        |      0.92% |      0.81% |      0.80% |      0.77% |      0.83% |      0.81% |      0.76% |      0.72%
    mpki                             |       3.22 |       2.83 |       2.80 |       2.69 |       2.88 |       2.84 |       2.65 |       2.52
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      13625 |      13413 |      12861 |      12770 |      13093 |      11337 |      12504 |      12307
    num cache misses                 |       3800 |       2117 |       1391 |       1101 |       3258 |       2280 |       1595 |       1147
    miss rate                        |     27.89% |     15.78% |     10.82% |      8.62% |     24.88% |     20.11% |     12.76% |      9.32%
    mpki                             |       1.05 |       0.49 |       0.34 |       0.26 |       0.80 |       0.67 |       0.38 |       0.26
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5089 |       2890 |       2382 |       1981 |       4240 |       3600 |       2464 |       2044
    num cache misses                 |          5 |         10 |          5 |         18 |         10 |          9 |          9 |          9
    miss rate                        |      0.10% |      0.35% |      0.21% |      0.91% |      0.24% |      0.25% |      0.37% |      0.44%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     180.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     127.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          2 |          7 |          5 |          2 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
