                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3727481 |    3329417 |    4349628 |    4293338 |    4041100 |    3327306 |    4216085 |    3705580
  Cycles                             |    2210933 |    2210933 |    2210933 |    2210933 |    2210933 |    2210933 |    2210933 |    2210933
  IPC                                |       1.69 |       1.51 |       1.97 |       1.94 |       1.83 |       1.50 |       1.91 |       1.68
  Time (ns)                          |     831178 |     831178 |     831178 |     831178 |     831178 |     831178 |     831178 |     831178
  Idle time (ns)                     |     114548 |     224708 |      84261 |     104043 |      88382 |     229320 |     113160 |     198215
  Idle time (%)                      |      13.8% |      27.0% |      10.1% |      12.5% |      10.6% |      27.6% |      13.6% |      23.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     603903 |     537547 |     707560 |     698173 |     656165 |     537207 |     685310 |     600227
  num incorrect                      |        212 |        215 |        239 |        244 |        219 |        204 |        230 |        226
  misprediction rate                 |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.04%
  mpki                               |       0.06 |       0.06 |       0.05 |       0.06 |       0.05 |       0.06 |       0.05 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1209096 |    1076442 |    1416506 |    1397750 |    1313645 |    1075743 |    1371999 |    1201827
    num cache misses                 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1306319 |    1173589 |    1513667 |    1494892 |    1410849 |    1172881 |    1469140 |    1298982
    num cache misses                 |      11455 |       9052 |      11416 |      11041 |      10806 |       8969 |      10380 |       8779
    miss rate                        |      0.88% |      0.77% |      0.75% |      0.74% |      0.77% |      0.76% |      0.71% |      0.68%
    mpki                             |       3.07 |       2.72 |       2.62 |       2.57 |       2.67 |       2.70 |       2.46 |       2.37
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      13262 |      10374 |      12757 |      12342 |      12342 |      10377 |      11651 |      10167
    num cache misses                 |       3849 |       1710 |       1561 |       1133 |       3323 |       1787 |       1569 |       1004
    miss rate                        |     29.02% |     16.48% |     12.24% |      9.18% |     26.92% |     17.22% |     13.47% |      9.88%
    mpki                             |       1.03 |       0.51 |       0.36 |       0.26 |       0.82 |       0.54 |       0.37 |       0.27
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5023 |       2432 |       2474 |       1883 |       4598 |       2756 |       2479 |       1978
    num cache misses                 |         13 |         14 |          5 |          6 |          5 |          6 |          6 |          9
    miss rate                        |      0.26% |      0.58% |      0.20% |      0.32% |      0.11% |      0.22% |      0.24% |      0.46%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      91.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      37.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          6 |          3 |          3 |          4 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
