                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3398015 |    4049882 |    4329758 |    4204288 |    4046726 |    4807172 |    5155317 |    4518700 |    3886717 |    4363412 |    3585032 |    4656566 |    3664064 |    3109304 |    4767456 |    5320554
  Cycles                             |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518 |   61911518
  IPC                                |       0.05 |       0.07 |       0.07 |       0.07 |       0.07 |       0.08 |       0.08 |       0.07 |       0.06 |       0.07 |       0.06 |       0.08 |       0.06 |       0.05 |       0.08 |       0.09
  Time (ns)                          |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007 |   23275007
  Idle time (ns)                     |    8027625 |    4018927 |    2268465 |    2900534 |    3722599 |     616680 |     311748 |    1511113 |    5076705 |    2459354 |    6787707 |    1028191 |    6169519 |    9941662 |     586706 |      89478
  Idle time (%)                      |      34.5% |      17.3% |       9.7% |      12.5% |      16.0% |       2.6% |       1.3% |       6.5% |      21.8% |      10.6% |      29.2% |       4.4% |      26.5% |      42.7% |       2.5% |       0.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     443604 |     552255 |     598894 |     577982 |     551730 |     678453 |     736455 |     630376 |     525051 |     604506 |     474778 |     653349 |     487955 |     395506 |     671841 |     764015
  num incorrect                      |         79 |         73 |         81 |         81 |         73 |         91 |        101 |         85 |         84 |         78 |         76 |         94 |         70 |         59 |         83 |         91
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     891358 |    1108647 |    1201937 |    1160115 |    1107595 |    1361075 |    1477103 |    1264919 |    1054257 |    1213155 |     953695 |    1310873 |     980041 |     795121 |    1347837 |    1532204
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1956061 |    2281995 |    2421934 |    2359198 |    2280419 |    2660641 |    2834689 |    2516405 |    2200414 |    2438761 |    2049571 |    2585338 |    2089086 |    1811706 |    2640783 |    2917331
    num cache misses                 |     398466 |     478241 |     516819 |     496323 |     470783 |     550484 |     552370 |     519689 |     493530 |     511728 |     390220 |     535483 |     400092 |     305891 |     535241 |     540563
    miss rate                        |     20.37% |     20.96% |     21.34% |     21.04% |     20.64% |     20.69% |     19.49% |     20.65% |     22.43% |     20.98% |     19.04% |     20.71% |     19.15% |     16.88% |     20.27% |     18.53%
    mpki                             |     117.26 |     118.09 |     119.36 |     118.05 |     116.34 |     114.51 |     107.15 |     115.01 |     126.98 |     117.28 |     108.85 |     115.00 |     109.19 |      98.38 |     112.27 |     101.60
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     398613 |     478413 |     517010 |     496487 |     470931 |     550701 |     552631 |     519878 |     493685 |     511869 |     390303 |     535671 |     400197 |     305993 |     535456 |     540793
    num cache misses                 |     398495 |     478282 |     516868 |     496366 |     470828 |     550530 |     552448 |     519764 |     493555 |     511764 |     390244 |     535529 |     400132 |     305934 |     535289 |     540636
    miss rate                        |     99.97% |     99.97% |     99.97% |     99.98% |     99.98% |     99.97% |     99.97% |     99.98% |     99.97% |     99.98% |     99.98% |     99.97% |     99.98% |     99.98% |     99.97% |     99.97%
    mpki                             |     117.27 |     118.10 |     119.38 |     118.06 |     116.35 |     114.52 |     107.16 |     115.03 |     126.99 |     117.29 |     108.85 |     115.01 |     109.20 |      98.39 |     112.28 |     101.61
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     398613 |     478413 |     517010 |     496487 |     470931 |     550701 |     552631 |     519878 |     493685 |     511869 |     390303 |     535671 |     400197 |     305993 |     535456 |     540793
    num cache misses                 |     131841 |     259824 |     288534 |     279347 |     267097 |     324443 |     331488 |     314859 |     172219 |     306715 |     227719 |     329584 |     240162 |     183636 |     342724 |     357551
    miss rate                        |     33.07% |     54.31% |     55.81% |     56.26% |     56.72% |     58.91% |     59.98% |     60.56% |     34.88% |     59.92% |     58.34% |     61.53% |     60.01% |     60.01% |     64.01% |     66.12%
    mpki                             |      38.80 |      64.16 |      66.64 |      66.44 |      66.00 |      67.49 |      64.30 |      69.68 |      44.31 |      70.29 |      63.52 |      70.78 |      65.55 |      59.06 |      71.89 |      67.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        102 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      86.15 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      32.72 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          4 |          4 |          3 |          4 |          4 |          5 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      80911 |     155881 |     172384 |     166972 |     162087 |     182950 |     184985 |     183115 |     100548 |     152576 |     127573 |     171629 |     139097 |     108174 |     182700 |     188798
