                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      88238 |      87239 |      87922 |      87498
  Cycles                             |     682342 |     682342 |     682342 |     682342
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     256520 |     256520 |     256520 |     256520
  Idle time (ns)                     |     233051 |     234027 |     233830 |     233951
  Idle time (%)                      |      90.9% |      91.2% |      91.2% |      91.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       9284 |       9135 |       9205 |       9126
  num incorrect                      |        289 |        282 |        298 |        306
  misprediction rate                 |      3.02% |      2.99% |      3.14% |      3.24%
  mpki                               |       3.28 |       3.23 |       3.39 |       3.50
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      16647 |      16534 |      16617 |      16603
    num cache misses                 |         65 |         65 |         66 |         65
    miss rate                        |      0.39% |      0.39% |      0.40% |      0.39%
    mpki                             |       0.74 |       0.75 |       0.75 |       0.74
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      50165 |      49781 |      50055 |      49898
    num cache misses                 |       2109 |       1912 |       2042 |       2030
    miss rate                        |      4.20% |      3.84% |      4.08% |      4.07%
    mpki                             |      23.90 |      21.92 |      23.23 |      23.20
  Cache L2                           |            |            |            |           
    num cache accesses               |       2629 |       2460 |       2655 |       2578
    num cache misses                 |         57 |         51 |         60 |         41
    miss rate                        |      2.17% |      2.07% |      2.26% |      1.59%
    mpki                             |       0.65 |       0.58 |       0.68 |       0.47
  Cache L3                           |            |            |            |           
    num cache accesses               |         63 |         55 |         65 |         45
    num cache misses                 |         57 |         51 |         60 |         41
    miss rate                        |     90.48% |     92.73% |     92.31% |     91.11%
    mpki                             |       0.65 |       0.58 |       0.68 |       0.47
DRAM summary                         |            |            |            |           
  num dram accesses                  |        198 |          0 |          0 |          0
  average dram access latency (ns)   |     198.59 |        inf |        inf |        inf
  average dram queueing delay        |     145.16 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         21 |         21 |         25 |         13
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
