                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      96520 |      98229 |     110040 |     108541
  Cycles                             |     316060 |     316060 |     316060 |     316060
  IPC                                |       0.31 |       0.31 |       0.35 |       0.34
  Time (ns)                          |     118820 |     118820 |     118820 |     118820
  Idle time (ns)                     |      87262 |      84568 |      79089 |      79056
  Idle time (%)                      |      73.4% |      71.2% |      66.6% |      66.5%
Branch predictor stats               |            |            |            |           
  num correct                        |       8878 |       9141 |      11098 |      10859
  num incorrect                      |         60 |         83 |         94 |         83
  misprediction rate                 |      0.67% |      0.90% |      0.84% |      0.76%
  mpki                               |       0.62 |       0.84 |       0.85 |       0.76
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      21865 |      22429 |      26367 |      25867
    num cache misses                 |         11 |         11 |         11 |         12
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.05%
    mpki                             |       0.11 |       0.11 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      57816 |      58671 |      64576 |      63827
    num cache misses                 |       7494 |       7496 |       8284 |       8498
    miss rate                        |     12.96% |     12.78% |     12.83% |     13.31%
    mpki                             |      77.64 |      76.31 |      75.28 |      78.29
  Cache L2                           |            |            |            |           
    num cache accesses               |       7582 |       7612 |       8426 |       8609
    num cache misses                 |          6 |         17 |          7 |         13
    miss rate                        |      0.08% |      0.22% |      0.08% |      0.15%
    mpki                             |       0.06 |       0.17 |       0.06 |       0.12
  Cache L3                           |            |            |            |           
    num cache accesses               |          8 |         19 |          9 |         15
    num cache misses                 |          6 |         17 |          7 |         13
    miss rate                        |     75.00% |     89.47% |     77.78% |     86.67%
    mpki                             |       0.06 |       0.17 |       0.06 |       0.12
DRAM summary                         |            |            |            |           
  num dram accesses                  |         33 |          0 |          0 |          0
  average dram access latency (ns)   |      96.60 |        inf |        inf |        inf
  average dram queueing delay        |      43.17 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          5 |          2 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
