                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     212523 |     204377 |     225646 |     203333
  Cycles                             |     312505 |     312505 |     312505 |     312505
  IPC                                |       0.68 |       0.65 |       0.72 |       0.65
  Time (ns)                          |     117483 |     117483 |     117483 |     117483
  Idle time (ns)                     |      82253 |      82953 |      80523 |      84610
  Idle time (%)                      |      70.0% |      70.6% |      68.5% |      72.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      33230 |      31578 |      35868 |      31424
  num incorrect                      |         92 |        115 |         78 |         57
  misprediction rate                 |      0.28% |      0.36% |      0.22% |      0.18%
  mpki                               |       0.43 |       0.56 |       0.35 |       0.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      71633 |      68370 |      76881 |      67957
    num cache misses                 |         14 |         13 |         14 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     130973 |     126082 |     138845 |     125456
    num cache misses                 |      33938 |      30537 |      33179 |      29601
    miss rate                        |     25.91% |     24.22% |     23.90% |     23.59%
    mpki                             |     159.69 |     149.42 |     147.04 |     145.58
  Cache L2                           |            |            |            |           
    num cache accesses               |      34069 |      30612 |      33267 |      29651
    num cache misses                 |         10 |         10 |         17 |         10
    miss rate                        |      0.03% |      0.03% |      0.05% |      0.03%
    mpki                             |       0.05 |       0.05 |       0.08 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |         12 |         19 |         12
    num cache misses                 |         10 |         10 |         17 |         10
    miss rate                        |     90.91% |     83.33% |     89.47% |     83.33%
    mpki                             |       0.05 |       0.05 |       0.08 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |      91.95 |        inf |        inf |        inf
  average dram queueing delay        |      38.52 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          2 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
