                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      85345 |      76618 |      96090 |      92669
  Cycles                             |     576810 |     576810 |     576810 |     576810
  IPC                                |       0.15 |       0.13 |       0.17 |       0.16
  Time (ns)                          |     216846 |     216846 |     216846 |     216846
  Idle time (ns)                     |     100638 |     133511 |      80600 |      84737
  Idle time (%)                      |      46.4% |      61.6% |      37.2% |      39.1%
Branch predictor stats               |            |            |            |           
  num correct                        |       7029 |       5563 |       8814 |       8233
  num incorrect                      |         42 |         53 |         51 |         55
  misprediction rate                 |      0.59% |      0.94% |      0.58% |      0.66%
  mpki                               |       0.49 |       0.69 |       0.53 |       0.59
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18134 |      15224 |      21718 |      20568
    num cache misses                 |         15 |         15 |         14 |         12
    miss rate                        |      0.08% |      0.10% |      0.06% |      0.06%
    mpki                             |       0.18 |       0.20 |       0.15 |       0.13
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52225 |      47866 |      57601 |      55868
    num cache misses                 |       4115 |       3098 |       4456 |       4454
    miss rate                        |      7.88% |      6.47% |      7.74% |      7.97%
    mpki                             |      48.22 |      40.43 |      46.37 |      48.06
  Cache L2                           |            |            |            |           
    num cache accesses               |       4256 |       3160 |       4589 |       4602
    num cache misses                 |       4134 |       3116 |       4479 |       4472
    miss rate                        |     97.13% |     98.61% |     97.60% |     97.18%
    mpki                             |      48.44 |      40.67 |      46.61 |      48.26
  Cache L3                           |            |            |            |           
    num cache accesses               |       4256 |       3160 |       4589 |       4602
    num cache misses                 |         13 |          7 |         13 |          9
    miss rate                        |      0.31% |      0.22% |      0.28% |      0.20%
    mpki                             |       0.15 |       0.09 |       0.14 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |      90.11 |        inf |        inf |        inf
  average dram queueing delay        |      36.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
