                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      96049 |      79166 |     102309 |      74268
  Cycles                             |     539757 |     539757 |     539757 |     539757
  IPC                                |       0.18 |       0.15 |       0.19 |       0.14
  Time (ns)                          |     202916 |     202916 |     202916 |     202916
  Idle time (ns)                     |      80869 |     125508 |      79070 |     147221
  Idle time (%)                      |      39.9% |      61.9% |      39.0% |      72.6%
Branch predictor stats               |            |            |            |           
  num correct                        |       9986 |       6613 |      11242 |       5628
  num incorrect                      |         35 |         32 |         37 |         35
  misprediction rate                 |      0.35% |      0.48% |      0.33% |      0.62%
  mpki                               |       0.36 |       0.40 |       0.36 |       0.47
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      25036 |      18281 |      27543 |      16315
    num cache misses                 |         15 |         16 |         14 |         16
    miss rate                        |      0.06% |      0.09% |      0.05% |      0.10%
    mpki                             |       0.16 |       0.20 |       0.14 |       0.22
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      61074 |      50949 |      64839 |      48009
    num cache misses                 |       3976 |       2489 |       3937 |       1908
    miss rate                        |      6.51% |      4.89% |      6.07% |      3.97%
    mpki                             |      41.40 |      31.44 |      38.48 |      25.69
  Cache L2                           |            |            |            |           
    num cache accesses               |       4031 |       2517 |       3998 |       1932
    num cache misses                 |       3993 |       2507 |       3952 |       1924
    miss rate                        |     99.06% |     99.60% |     98.85% |     99.59%
    mpki                             |      41.57 |      31.67 |      38.63 |      25.91
  Cache L3                           |            |            |            |           
    num cache accesses               |       4031 |       2517 |       3998 |       1932
    num cache misses                 |         11 |         11 |         16 |         11
    miss rate                        |      0.27% |      0.44% |      0.40% |      0.57%
    mpki                             |       0.11 |       0.14 |       0.16 |       0.15
DRAM summary                         |            |            |            |           
  num dram accesses                  |         42 |          0 |          0 |          0
  average dram access latency (ns)   |     158.20 |        inf |        inf |        inf
  average dram queueing delay        |     104.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          6 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
