                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     157232 |     109350 |     119778 |     136097
  Cycles                             |     481515 |     481515 |     481515 |     481515
  IPC                                |       0.33 |       0.23 |       0.25 |       0.28
  Time (ns)                          |     181021 |     181021 |     181021 |     181021
  Idle time (ns)                     |      79024 |     105258 |      89467 |      85990
  Idle time (%)                      |      43.7% |      58.1% |      49.4% |      47.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      19306 |      11337 |      13053 |      15759
  num incorrect                      |         86 |         75 |         93 |        113
  misprediction rate                 |      0.44% |      0.66% |      0.71% |      0.71%
  mpki                               |       0.55 |       0.69 |       0.78 |       0.83
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      41734 |      25795 |      29258 |      34688
    num cache misses                 |         11 |         11 |         15 |         11
    miss rate                        |      0.03% |      0.04% |      0.05% |      0.03%
    mpki                             |       0.07 |       0.10 |       0.13 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      73821 |      57843 |      61330 |      66777
    num cache misses                 |       2651 |       1892 |       2403 |       2448
    miss rate                        |      3.59% |      3.27% |      3.92% |      3.67%
    mpki                             |      16.86 |      17.30 |      20.06 |      17.99
  Cache L2                           |            |            |            |           
    num cache accesses               |       2901 |       2946 |       3024 |       3260
    num cache misses                 |       2663 |       1908 |       2425 |       2468
    miss rate                        |     91.80% |     64.77% |     80.19% |     75.71%
    mpki                             |      16.94 |      17.45 |      20.25 |      18.13
  Cache L3                           |            |            |            |           
    num cache accesses               |       2901 |       2946 |       3024 |       3260
    num cache misses                 |          4 |         19 |         11 |         10
    miss rate                        |      0.14% |      0.64% |      0.36% |      0.31%
    mpki                             |       0.03 |       0.17 |       0.09 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     109.01 |        inf |        inf |        inf
  average dram queueing delay        |      55.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          7 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
