                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     167166 |     166929 |     164814 |     164883
  Cycles                             |     537372 |     537372 |     537372 |     537372
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |     202020 |     202020 |     202020 |     202020
  Idle time (ns)                     |      79103 |      85880 |      80930 |      92914
  Idle time (%)                      |      39.2% |      42.5% |      40.1% |      46.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      21111 |      21086 |      20740 |      20750
  num incorrect                      |        101 |         79 |         83 |         84
  misprediction rate                 |      0.48% |      0.37% |      0.40% |      0.40%
  mpki                               |       0.60 |       0.47 |       0.50 |       0.51
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      43408 |      43309 |      42623 |      42647
    num cache misses                 |         11 |         10 |         10 |         10
    miss rate                        |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      77444 |      77347 |      76659 |      76684
    num cache misses                 |       3182 |       2993 |       3141 |       2707
    miss rate                        |      4.11% |      3.87% |      4.10% |      3.53%
    mpki                             |      19.03 |      17.93 |      19.06 |      16.42
  Cache L2                           |            |            |            |           
    num cache accesses               |       4012 |       3924 |       3873 |       3784
    num cache misses                 |       3199 |       3005 |       3154 |       2722
    miss rate                        |     79.74% |     76.58% |     81.44% |     71.93%
    mpki                             |      19.14 |      18.00 |      19.14 |      16.51
  Cache L3                           |            |            |            |           
    num cache accesses               |       4012 |       3924 |       3873 |       3784
    num cache misses                 |         16 |         14 |          5 |          7
    miss rate                        |      0.40% |      0.36% |      0.13% |      0.18%
    mpki                             |       0.10 |       0.08 |       0.03 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         32 |          0 |          0 |          0
  average dram access latency (ns)   |     135.09 |        inf |        inf |        inf
  average dram queueing delay        |      81.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          6 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
