                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      86521 |      87019 |      86664 |      86043
  Cycles                             |     861049 |     861049 |     861049 |     861049
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     323703 |     323703 |     323703 |     323703
  Idle time (ns)                     |     260153 |     249897 |     250934 |     255895
  Idle time (%)                      |      80.4% |      77.2% |      77.5% |      79.1%
Branch predictor stats               |            |            |            |           
  num correct                        |       9185 |       9249 |       9170 |       9138
  num incorrect                      |        246 |        255 |        228 |        226
  misprediction rate                 |      2.61% |      2.68% |      2.43% |      2.41%
  mpki                               |       2.84 |       2.93 |       2.63 |       2.63
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      16231 |      16337 |      16362 |      16193
    num cache misses                 |         66 |         66 |         66 |         65
    miss rate                        |      0.41% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.76 |       0.76 |       0.76 |       0.76
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      49410 |      49620 |      49514 |      49227
    num cache misses                 |       1644 |       1711 |       1726 |       1637
    miss rate                        |      3.33% |      3.45% |      3.49% |      3.33%
    mpki                             |      19.00 |      19.66 |      19.92 |      19.03
  Cache L2                           |            |            |            |           
    num cache accesses               |       2372 |       2468 |       2478 |       2378
    num cache misses                 |       1715 |       1779 |       1796 |       1703
    miss rate                        |     72.30% |     72.08% |     72.48% |     71.61%
    mpki                             |      19.82 |      20.44 |      20.72 |      19.79
  Cache L3                           |            |            |            |           
    num cache accesses               |       2371 |       2467 |       2477 |       2377
    num cache misses                 |       1715 |       1779 |       1796 |       1703
    miss rate                        |     72.33% |     72.11% |     72.51% |     71.64%
    mpki                             |      19.82 |      20.44 |      20.72 |      19.79
DRAM summary                         |            |            |            |           
  num dram accesses                  |        977 |          0 |          0 |          0
  average dram access latency (ns)   |     139.44 |        inf |        inf |        inf
  average dram queueing delay        |      86.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        128 |        134 |        132 |        132
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        634 |        695 |        706 |        642
