                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      81676 |      95498 |      87846 |      89762
  Cycles                             |     564754 |     564754 |     564754 |     564754
  IPC                                |       0.14 |       0.17 |       0.16 |       0.16
  Time (ns)                          |     212314 |     212314 |     212314 |     212314
  Idle time (ns)                     |     143307 |      79414 |      89742 |      84723
  Idle time (%)                      |      67.5% |      37.4% |      42.3% |      39.9%
Branch predictor stats               |            |            |            |           
  num correct                        |       7114 |       9890 |       8345 |       8718
  num incorrect                      |         33 |         28 |         33 |         43
  misprediction rate                 |      0.46% |      0.28% |      0.39% |      0.49%
  mpki                               |       0.40 |       0.29 |       0.38 |       0.48
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19281 |      24819 |      21744 |      22510
    num cache misses                 |         12 |         13 |         16 |         16
    miss rate                        |      0.06% |      0.05% |      0.07% |      0.07%
    mpki                             |       0.15 |       0.14 |       0.18 |       0.18
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52442 |      60755 |      56146 |      57295
    num cache misses                 |       2214 |       3525 |       3453 |       3523
    miss rate                        |      4.22% |      5.80% |      6.15% |      6.15%
    mpki                             |      27.11 |      36.91 |      39.31 |      39.25
  Cache L2                           |            |            |            |           
    num cache accesses               |       2442 |       3679 |       3702 |       3731
    num cache misses                 |       2236 |       3541 |       3476 |       3543
    miss rate                        |     91.56% |     96.25% |     93.90% |     94.96%
    mpki                             |      27.38 |      37.08 |      39.57 |      39.47
  Cache L3                           |            |            |            |           
    num cache accesses               |       2442 |       3679 |       3702 |       3731
    num cache misses                 |       2236 |       3541 |       3476 |       3543
    miss rate                        |     91.56% |     96.25% |     93.90% |     94.96%
    mpki                             |      27.38 |      37.08 |      39.57 |      39.47
DRAM summary                         |            |            |            |           
  num dram accesses                  |        503 |          0 |          0 |          0
  average dram access latency (ns)   |      68.20 |        inf |        inf |        inf
  average dram queueing delay        |      14.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          7 |          9 |         17 |         14
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        377 |        228 |        386 |        330
