                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     104295 |      98198 |      93306 |      95915
  Cycles                             |     481161 |     481161 |     481161 |     481161
  IPC                                |       0.22 |       0.20 |       0.19 |       0.20
  Time (ns)                          |     180888 |     180888 |     180888 |     180888
  Idle time (ns)                     |     105538 |      82173 |     103934 |      86808
  Idle time (%)                      |      58.3% |      45.4% |      57.5% |      48.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      10689 |       9659 |       8866 |       9305
  num incorrect                      |         39 |         55 |         32 |         27
  misprediction rate                 |      0.36% |      0.57% |      0.36% |      0.29%
  mpki                               |       0.37 |       0.56 |       0.34 |       0.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      22449 |      20416 |      18790 |      19659
    num cache misses                 |         15 |         15 |         15 |         16
    miss rate                        |      0.07% |      0.07% |      0.08% |      0.08%
    mpki                             |       0.14 |       0.15 |       0.16 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      56492 |      54459 |      52819 |      53692
    num cache misses                 |       1661 |       1788 |       1394 |       1475
    miss rate                        |      2.94% |      3.28% |      2.64% |      2.75%
    mpki                             |      15.93 |      18.21 |      14.94 |      15.38
  Cache L2                           |            |            |            |           
    num cache accesses               |       2318 |       2302 |       2141 |       1809
    num cache misses                 |       1678 |       1803 |       1409 |       1491
    miss rate                        |     72.39% |     78.32% |     65.81% |     82.42%
    mpki                             |      16.09 |      18.36 |      15.10 |      15.55
  Cache L3                           |            |            |            |           
    num cache accesses               |       2318 |       2302 |       2141 |       1809
    num cache misses                 |       1678 |       1803 |       1409 |       1491
    miss rate                        |     72.39% |     78.32% |     65.81% |     82.42%
    mpki                             |      16.09 |      18.36 |      15.10 |      15.55
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1836 |          0 |          0 |          0
  average dram access latency (ns)   |      66.18 |        inf |        inf |        inf
  average dram queueing delay        |      12.75 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        229 |        454 |        388 |        654
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1055 |       1019 |        591 |        635
